16.33	0	5e-06	4e-06	7.5e-09
26.33	5.7025e-08	5e-06	4e-06	7.5e-09
36.33	1.6116e-07	5e-06	4e-06	7.5e-09
46.33	2.9566e-07	5e-06	4e-06	7.5e-09
56.33	4.7045e-07	5e-06	4e-06	7.5e-09
66.33	6.7252e-07	5e-06	4e-06	7.5e-09
76.33	8.845e-07	5e-06	4e-06	7.5e-09
86.33	1.1033e-06	5e-06	4e-06	7.5e-09
96.33	1.3605e-06	5e-06	4e-06	7.5e-09
106.33	1.593e-06	5e-06	4e-06	7.5e-09
116.33	1.8037e-06	5e-06	4e-06	7.5e-09
126.33	2.012e-06	5e-06	4e-06	7.5e-09
136.33	2.2072e-06	5e-06	4e-06	7.5e-09
146.33	2.3851e-06	5e-06	4e-06	7.5e-09
156.33	2.5364e-06	5e-06	4e-06	7.5e-09
166.33	2.6808e-06	5e-06	4e-06	7.5e-09
176.33	2.8227e-06	5e-06	4e-06	7.5e-09
186.33	2.9256e-06	5e-06	4e-06	7.5e-09
196.33	3.0521e-06	5e-06	4e-06	7.5e-09
206.33	3.1419e-06	5e-06	4e-06	7.5e-09
216.33	3.2349e-06	5e-06	4e-06	7.5e-09
226.33	3.3149e-06	5e-06	4e-06	7.5e-09
236.33	3.37e-06	5e-06	4e-06	7.5e-09
246.33	3.4246e-06	5e-06	4e-06	7.5e-09
256.33	3.4872e-06	5e-06	4e-06	7.5e-09
266.33	3.5343e-06	5e-06	4e-06	7.5e-09
276.33	3.561e-06	5e-06	4e-06	7.5e-09
286.33	3.5975e-06	5e-06	4e-06	7.5e-09
296.33	3.6595e-06	5e-06	4e-06	7.5e-09
306.33	3.6713e-06	5e-06	4e-06	7.5e-09
316.33	3.7097e-06	5e-06	4e-06	7.5e-09
326.33	3.7364e-06	5e-06	4e-06	7.5e-09
336.33	3.7506e-06	5e-06	4e-06	7.5e-09
346.33	3.7841e-06	5e-06	4e-06	7.5e-09
356.33	3.7959e-06	5e-06	4e-06	7.5e-09
366.33	3.8194e-06	5e-06	4e-06	7.5e-09
376.33	3.8306e-06	5e-06	4e-06	7.5e-09
386.33	3.8312e-06	5e-06	4e-06	7.5e-09
396.33	3.8548e-06	5e-06	4e-06	7.5e-09
406.33	3.8442e-06	5e-06	4e-06	7.5e-09
416.33	3.8678e-06	5e-06	4e-06	7.5e-09
426.33	3.8541e-06	5e-06	4e-06	7.5e-09
436.33	3.8802e-06	5e-06	4e-06	7.5e-09
446.33	3.8709e-06	5e-06	4e-06	7.5e-09
456.33	3.8988e-06	5e-06	4e-06	7.5e-09
466.33	3.8901e-06	5e-06	4e-06	7.5e-09
476.33	3.8833e-06	5e-06	4e-06	7.5e-09
486.33	3.8864e-06	5e-06	4e-06	7.5e-09
496.33	3.8907e-06	5e-06	4e-06	7.5e-09
506.33	3.8746e-06	5e-06	4e-06	7.5e-09
516.33	3.8895e-06	5e-06	4e-06	7.5e-09
526.33	3.9e-06	5e-06	4e-06	7.5e-09
