Time	2uM	[G-act] (0)	[G-act] (t)
15.04	1.97696E-09	0.000002	1.99802E-06
25.02	1.41344E-09	0.000002	1.99859E-06
35.02	2.78353E-09	0.000002	1.99722E-06
45.01	5.94016E-09	0.000002	1.99406E-06
55.02	1.96767E-09	0.000002	1.99803E-06
65.03	0	0.000002	0.000002
75.01	4.75894E-09	0.000002	1.99524E-06
85.02	5.05154E-09	0.000002	1.99495E-06
95.01	3.23868E-09	0.000002	1.99676E-06
105.02	4.5035E-09	0.000002	1.9955E-06
115.02	3.8796E-09	0.000002	1.99612E-06
125.02	6.47736E-09	0.000002	1.99352E-06
135.01	7.48055E-09	0.000002	1.99252E-06
145.02	1.0679E-08	0.000002	1.98932E-06
155.02	9.03487E-09	0.000002	1.99097E-06
165.01	1.70743E-08	0.000002	1.98293E-06
175.01	1.39935E-08	0.000002	1.98601E-06
185.01	1.62182E-08	0.000002	1.98378E-06
195.01	2.04833E-08	0.000002	1.97952E-06
205.02	2.16273E-08	0.000002	1.97837E-06
215.01	2.22125E-08	0.000002	1.97779E-06
225.01	2.3996E-08	0.000002	1.976E-06
235.01	2.72718E-08	0.000002	1.97273E-06
245.02	3.12304E-08	0.000002	1.96877E-06
255.02	3.56874E-08	0.000002	1.96431E-06
265.02	3.8601E-08	0.000002	1.9614E-06
275.01	4.33166E-08	0.000002	1.95668E-06
285.02	4.12591E-08	0.000002	1.95874E-06
295.02	4.67271E-08	0.000002	1.95327E-06
305.02	5.06671E-08	0.000002	1.94933E-06
315.02	5.45204E-08	0.000002	1.94548E-06
325.02	5.95688E-08	0.000002	1.94043E-06
335.02	5.66041E-08	0.000002	1.9434E-06
345.02	6.35645E-08	0.000002	1.93644E-06
355.01	6.7311E-08	0.000002	1.93269E-06
365.02	7.52575E-08	0.000002	1.92474E-06
375.02	7.46708E-08	0.000002	1.92533E-06
385.02	8.67926E-08	0.000002	1.91321E-06
395.01	8.78283E-08	0.000002	1.91217E-06
405.02	9.54435E-08	0.000002	1.90456E-06
415.02	9.31167E-08	0.000002	1.90688E-06
425.02	9.62424E-08	0.000002	1.90376E-06
435.01	1.04864E-07	0.000002	1.89514E-06
445.02	1.09168E-07	0.000002	1.89083E-06
455.02	1.12369E-07	0.000002	1.88763E-06
465.01	1.20785E-07	0.000002	1.87922E-06
475.02	1.27638E-07	0.000002	1.87236E-06
485.02	1.28569E-07	0.000002	1.87143E-06
495.01	1.35593E-07	0.000002	1.86441E-06
505.02	1.40945E-07	0.000002	1.85906E-06
515.02	1.44343E-07	0.000002	1.85566E-06
525.02	1.52418E-07	0.000002	1.84758E-06
535.02	1.55184E-07	0.000002	1.84482E-06
545.02	1.63165E-07	0.000002	1.83684E-06
555.02	1.68788E-07	0.000002	1.83121E-06
565.02	1.70294E-07	0.000002	1.82971E-06
575.01	1.82821E-07	0.000002	1.81718E-06
585.02	1.88635E-07	0.000002	1.81137E-06
595.01	1.93819E-07	0.000002	1.80618E-06
605.01	1.99905E-07	0.000002	1.8001E-06
615.02	2.04806E-07	0.000002	1.79519E-06
625.02	2.09324E-07	0.000002	1.79068E-06
635.03	2.2135E-07	0.000002	1.77865E-06
645.01	2.21455E-07	0.000002	1.77855E-06
655.01	2.32258E-07	0.000002	1.76774E-06
665.01	2.32753E-07	0.000002	1.76725E-06
675.02	2.44776E-07	0.000002	1.75522E-06
685.02	2.50073E-07	0.000002	1.74993E-06
695.01	2.50474E-07	0.000002	1.74953E-06
705.02	2.61962E-07	0.000002	1.73804E-06
715.01	2.69671E-07	0.000002	1.73033E-06
725.02	2.67817E-07	0.000002	1.73218E-06
735.01	2.82939E-07	0.000002	1.71706E-06
745.01	2.88356E-07	0.000002	1.71164E-06
755.01	2.94748E-07	0.000002	1.70525E-06
765.02	3.01426E-07	0.000002	1.69857E-06
775.02	3.13234E-07	0.000002	1.68677E-06
785.02	3.11506E-07	0.000002	1.68849E-06
795.02	3.19806E-07	0.000002	1.68019E-06
805.02	3.3078E-07	0.000002	1.66922E-06
815.01	3.35696E-07	0.000002	1.6643E-06
825.01	3.43223E-07	0.000002	1.65678E-06
835.01	3.55648E-07	0.000002	1.64435E-06
845.02	3.59283E-07	0.000002	1.64072E-06
855.01	3.62915E-07	0.000002	1.63709E-06
865.02	3.72393E-07	0.000002	1.62761E-06
875.02	3.78997E-07	0.000002	1.621E-06
885.01	3.85055E-07	0.000002	1.61495E-06
895.02	3.97553E-07	0.000002	1.60245E-06
905.01	4.03292E-07	0.000002	1.59671E-06
915.01	4.0362E-07	0.000002	1.59638E-06
925.02	4.11342E-07	0.000002	1.58866E-06
935.01	4.18383E-07	0.000002	1.58162E-06
945.01	4.29025E-07	0.000002	1.57098E-06
955.02	4.31642E-07	0.000002	1.56836E-06
965.01	4.45062E-07	0.000002	1.55494E-06
975.01	4.4062E-07	0.000002	1.55938E-06
985.01	4.59078E-07	0.000002	1.54092E-06
995.02	4.62097E-07	0.000002	1.5379E-06
1005.02	4.70003E-07	0.000002	1.53E-06
1015.01	4.76235E-07	0.000002	1.52377E-06
1025.01	4.82769E-07	0.000002	1.51723E-06
1035.01	4.89618E-07	0.000002	1.51038E-06
1045.01	5.01822E-07	0.000002	1.49818E-06
1055.02	5.0709E-07	0.000002	1.49291E-06
1065.01	5.0871E-07	0.000002	1.49129E-06
1075.01	5.21172E-07	0.000002	1.47883E-06
1085.01	5.28619E-07	0.000002	1.47138E-06
1095.02	5.29869E-07	0.000002	1.47013E-06
1105.01	5.44279E-07	0.000002	1.45572E-06
1115.02	5.43767E-07	0.000002	1.45623E-06
1125.02	5.57805E-07	0.000002	1.44219E-06
1135.02	5.63967E-07	0.000002	1.43603E-06
1145.02	5.71853E-07	0.000002	1.42815E-06
1155.01	5.69164E-07	0.000002	1.43084E-06
1165.01	5.87952E-07	0.000002	1.41205E-06
1175.01	5.87941E-07	0.000002	1.41206E-06
1185.03	5.93806E-07	0.000002	1.40619E-06
1195.02	6.03659E-07	0.000002	1.39634E-06
1205.02	6.16278E-07	0.000002	1.38372E-06
1215.02	6.17252E-07	0.000002	1.38275E-06
1225.02	6.30021E-07	0.000002	1.36998E-06
1235.02	6.29739E-07	0.000002	1.37026E-06
1245.01	6.34323E-07	0.000002	1.36568E-06
1255.01	6.42229E-07	0.000002	1.35777E-06
1265.02	6.4361E-07	0.000002	1.35639E-06
1275.02	6.62522E-07	0.000002	1.33748E-06
1285.01	6.6758E-07	0.000002	1.33242E-06
1295.02	6.70853E-07	0.000002	1.32915E-06
1305.01	6.76263E-07	0.000002	1.32374E-06
1315.02	6.83488E-07	0.000002	1.31651E-06
1325.01	6.95816E-07	0.000002	1.30418E-06
1335.01	7.00801E-07	0.000002	1.2992E-06
1345	7.04399E-07	0.000002	1.2956E-06
1355.02	7.16857E-07	0.000002	1.28314E-06
1365.01	7.23333E-07	0.000002	1.27667E-06
1375.02	7.29342E-07	0.000002	1.27066E-06
1385.02	7.33515E-07	0.000002	1.26649E-06
1395.02	7.39763E-07	0.000002	1.26024E-06
1405.01	7.42833E-07	0.000002	1.25717E-06
1415.01	7.53303E-07	0.000002	1.2467E-06
1425.02	7.56199E-07	0.000002	1.2438E-06
1435.02	7.73905E-07	0.000002	1.22609E-06
1445.01	7.75946E-07	0.000002	1.22405E-06
1455.02	7.80972E-07	0.000002	1.21903E-06
1465.02	7.86701E-07	0.000002	1.2133E-06
1475.01	7.88856E-07	0.000002	1.21114E-06
1485.02	7.98945E-07	0.000002	1.20106E-06
1495.02	8.04281E-07	0.000002	1.19572E-06
1505.01	8.17315E-07	0.000002	1.18269E-06
