Time	5uM	[G-act] (0)	[G-act] (t)
15.04	0	0.000005	0.000005
25.02	1.65377E-08	0.000005	4.98346E-06
35.02	4.12636E-08	0.000005	4.95874E-06
45.01	7.94956E-08	0.000005	4.9205E-06
55.02	1.13188E-07	0.000005	4.88681E-06
65.03	1.59249E-07	0.000005	4.84075E-06
75.01	2.22674E-07	0.000005	4.77733E-06
85.02	2.87106E-07	0.000005	4.71289E-06
95.01	3.55848E-07	0.000005	4.64415E-06
105.02	4.42104E-07	0.000005	4.5579E-06
115.02	5.41049E-07	0.000005	4.45895E-06
125.02	6.46394E-07	0.000005	4.35361E-06
135.01	7.44848E-07	0.000005	4.25515E-06
145.02	8.55454E-07	0.000005	4.14455E-06
155.02	9.63389E-07	0.000005	4.03661E-06
165.01	1.08817E-06	0.000005	3.91183E-06
175.01	1.21328E-06	0.000005	3.78672E-06
185.01	1.32382E-06	0.000005	3.67618E-06
195.01	1.44593E-06	0.000005	3.55407E-06
205.02	1.58471E-06	0.000005	3.41529E-06
215.01	1.6826E-06	0.000005	3.3174E-06
225.01	1.80839E-06	0.000005	3.19161E-06
235.01	1.90897E-06	0.000005	3.09103E-06
245.02	2.00258E-06	0.000005	2.99742E-06
255.02	2.10965E-06	0.000005	2.89035E-06
265.02	2.22388E-06	0.000005	2.77612E-06
275.01	2.30949E-06	0.000005	2.69051E-06
285.02	2.39927E-06	0.000005	2.60073E-06
295.02	2.49284E-06	0.000005	2.50716E-06
305.02	2.59624E-06	0.000005	2.40376E-06
315.02	2.67775E-06	0.000005	2.32225E-06
325.02	2.77074E-06	0.000005	2.22926E-06
335.02	2.84007E-06	0.000005	2.15993E-06
345.02	2.91478E-06	0.000005	2.08522E-06
355.01	2.9964E-06	0.000005	2.0036E-06
365.02	3.04965E-06	0.000005	1.95035E-06
375.02	3.11881E-06	0.000005	1.88119E-06
385.02	3.20138E-06	0.000005	1.79862E-06
395.01	3.26816E-06	0.000005	1.73184E-06
405.02	3.3114E-06	0.000005	1.6886E-06
415.02	3.37327E-06	0.000005	1.62673E-06
425.02	3.42441E-06	0.000005	1.57559E-06
435.01	3.48763E-06	0.000005	1.51237E-06
445.02	3.55264E-06	0.000005	1.44736E-06
455.02	3.57814E-06	0.000005	1.42186E-06
465.01	3.63809E-06	0.000005	1.36191E-06
475.02	3.67473E-06	0.000005	1.32527E-06
485.02	3.72885E-06	0.000005	1.27115E-06
495.01	3.76319E-06	0.000005	1.23681E-06
505.02	3.79865E-06	0.000005	1.20135E-06
515.02	3.85275E-06	0.000005	1.14725E-06
525.02	3.86513E-06	0.000005	1.13487E-06
535.02	3.92657E-06	0.000005	1.07343E-06
545.02	3.95534E-06	0.000005	1.04466E-06
555.02	3.98945E-06	0.000005	1.01055E-06
565.02	4.01829E-06	0.000005	9.81714E-07
575.01	4.0456E-06	0.000005	9.54404E-07
585.02	4.08371E-06	0.000005	9.16294E-07
595.01	4.10033E-06	0.000005	8.99671E-07
605.01	4.12281E-06	0.000005	8.77191E-07
615.02	4.14549E-06	0.000005	8.54514E-07
625.02	4.19433E-06	0.000005	8.05668E-07
635.03	4.21975E-06	0.000005	7.80253E-07
645.01	4.24194E-06	0.000005	7.58056E-07
655.01	4.23377E-06	0.000005	7.6623E-07
665.01	4.27766E-06	0.000005	7.22342E-07
675.02	4.30947E-06	0.000005	6.90529E-07
685.02	4.32088E-06	0.000005	6.79117E-07
695.01	4.34544E-06	0.000005	6.54555E-07
705.02	4.35352E-06	0.000005	6.46477E-07
715.01	4.38656E-06	0.000005	6.13438E-07
725.02	4.39917E-06	0.000005	6.00834E-07
735.01	4.40781E-06	0.000005	5.9219E-07
745.01	4.44678E-06	0.000005	5.53224E-07
755.01	4.45576E-06	0.000005	5.44242E-07
765.02	4.47372E-06	0.000005	5.26275E-07
775.02	4.50525E-06	0.000005	4.94746E-07
785.02	4.49133E-06	0.000005	5.08671E-07
795.02	4.50073E-06	0.000005	4.9927E-07
805.02	4.53152E-06	0.000005	4.68484E-07
815.01	4.53866E-06	0.000005	4.61336E-07
825.01	4.58005E-06	0.000005	4.19947E-07
835.01	4.56104E-06	0.000005	4.38961E-07
845.02	4.57111E-06	0.000005	4.28891E-07
855.01	4.59377E-06	0.000005	4.06235E-07
