Time	7uM	[G-act] (0)	[G-act] (t)
15.04	0	0.000007	0.000007
25.02	9.36006E-08	0.000007	6.9064E-06
35.02	2.12598E-07	0.000007	6.7874E-06
45.01	3.66929E-07	0.000007	6.63307E-06
55.02	5.46783E-07	0.000007	6.45322E-06
65.03	7.42993E-07	0.000007	6.25701E-06
75.01	9.74764E-07	0.000007	6.02524E-06
85.02	1.22791E-06	0.000007	5.77209E-06
95.01	1.50452E-06	0.000007	5.49548E-06
105.02	1.75988E-06	0.000007	5.24012E-06
115.02	2.04626E-06	0.000007	4.95374E-06
125.02	2.32503E-06	0.000007	4.67497E-06
135.01	2.61456E-06	0.000007	4.38544E-06
145.02	2.87775E-06	0.000007	4.12225E-06
155.02	3.1272E-06	0.000007	3.8728E-06
165.01	3.35678E-06	0.000007	3.64322E-06
175.01	3.58703E-06	0.000007	3.41297E-06
185.01	3.80697E-06	0.000007	3.19303E-06
195.01	4.00461E-06	0.000007	2.99539E-06
205.02	4.20774E-06	0.000007	2.79226E-06
215.01	4.37962E-06	0.000007	2.62038E-06
225.01	4.50333E-06	0.000007	2.49667E-06
235.01	4.67899E-06	0.000007	2.32101E-06
245.02	4.81329E-06	0.000007	2.18671E-06
255.02	4.94583E-06	0.000007	2.05417E-06
265.02	5.05526E-06	0.000007	1.94474E-06
275.01	5.18513E-06	0.000007	1.81487E-06
285.02	5.2857E-06	0.000007	1.7143E-06
295.02	5.37756E-06	0.000007	1.62244E-06
305.02	5.48838E-06	0.000007	1.51162E-06
315.02	5.57108E-06	0.000007	1.42892E-06
325.02	5.66236E-06	0.000007	1.33764E-06
335.02	5.75688E-06	0.000007	1.24312E-06
345.02	5.78065E-06	0.000007	1.21935E-06
355.01	5.87173E-06	0.000007	1.12827E-06
365.02	5.91155E-06	0.000007	1.08845E-06
375.02	5.97323E-06	0.000007	1.02677E-06
385.02	6.0508E-06	0.000007	9.49198E-07
395.01	6.10707E-06	0.000007	8.92929E-07
405.02	6.12521E-06	0.000007	8.74792E-07
415.02	6.17808E-06	0.000007	8.21919E-07
425.02	6.19973E-06	0.000007	8.00271E-07
435.01	6.24901E-06	0.000007	7.50986E-07
445.02	6.2968E-06	0.000007	7.03204E-07
455.02	6.33869E-06	0.000007	6.61312E-07
465.01	6.36863E-06	0.000007	6.31367E-07
475.02	6.40083E-06	0.000007	5.9917E-07
485.02	6.43628E-06	0.000007	5.63716E-07
