Time	6uM	[G-act] (0)	[G-act] (t)
15.04	0	0.000006	0.000006
25.02	5.29512E-08	0.000006	5.94705E-06
35.02	1.52056E-07	0.000006	5.84794E-06
45.01	2.63229E-07	0.000006	5.73677E-06
55.02	4.03336E-07	0.000006	5.59666E-06
65.03	5.49494E-07	0.000006	5.45051E-06
75.01	7.1162E-07	0.000006	5.28838E-06
85.02	9.03846E-07	0.000006	5.09615E-06
95.01	1.07957E-06	0.000006	4.92043E-06
105.02	1.29851E-06	0.000006	4.70149E-06
115.02	1.51114E-06	0.000006	4.48886E-06
125.02	1.69871E-06	0.000006	4.30129E-06
135.01	1.91364E-06	0.000006	4.08636E-06
145.02	2.09486E-06	0.000006	3.90514E-06
155.02	2.28532E-06	0.000006	3.71468E-06
165.01	2.47622E-06	0.000006	3.52378E-06
175.01	2.65026E-06	0.000006	3.34974E-06
185.01	2.82046E-06	0.000006	3.17954E-06
195.01	2.98901E-06	0.000006	3.01099E-06
205.02	3.1651E-06	0.000006	2.8349E-06
215.01	3.27783E-06	0.000006	2.72217E-06
225.01	3.42015E-06	0.000006	2.57985E-06
235.01	3.5345E-06	0.000006	2.4655E-06
245.02	3.67879E-06	0.000006	2.32121E-06
255.02	3.79027E-06	0.000006	2.20973E-06
265.02	3.89894E-06	0.000006	2.10106E-06
275.01	4.01435E-06	0.000006	1.98565E-06
285.02	4.12091E-06	0.000006	1.87909E-06
295.02	4.20012E-06	0.000006	1.79988E-06
305.02	4.28289E-06	0.000006	1.71711E-06
315.02	4.38029E-06	0.000006	1.61971E-06
325.02	4.44841E-06	0.000006	1.55159E-06
335.02	4.51302E-06	0.000006	1.48698E-06
345.02	4.57438E-06	0.000006	1.42562E-06
355.01	4.66807E-06	0.000006	1.33193E-06
365.02	4.71221E-06	0.000006	1.28779E-06
375.02	4.79465E-06	0.000006	1.20535E-06
385.02	4.83683E-06	0.000006	1.16317E-06
395.01	4.88476E-06	0.000006	1.11524E-06
405.02	4.95235E-06	0.000006	1.04765E-06
415.02	4.98295E-06	0.000006	1.01705E-06
425.02	5.03938E-06	0.000006	9.60616E-07
435.01	5.06836E-06	0.000006	9.31639E-07
445.02	5.09188E-06	0.000006	9.0812E-07
455.02	5.13785E-06	0.000006	8.62148E-07
465.01	5.18792E-06	0.000006	8.12081E-07
475.02	5.22752E-06	0.000006	7.72477E-07
485.02	5.25941E-06	0.000006	7.40591E-07
495.01	5.27687E-06	0.000006	7.23127E-07
505.02	5.31522E-06	0.000006	6.84779E-07
515.02	5.33182E-06	0.000006	6.68176E-07
525.02	5.36865E-06	0.000006	6.31346E-07
535.02	5.39958E-06	0.000006	6.00424E-07
545.02	5.40752E-06	0.000006	5.9248E-07
555.02	5.44196E-06	0.000006	5.58041E-07
565.02	5.46152E-06	0.000006	5.38477E-07
575.01	5.50168E-06	0.000006	4.98315E-07
585.02	5.52749E-06	0.000006	4.72506E-07
595.01	5.53716E-06	0.000006	4.62838E-07
605.01	5.53686E-06	0.000006	4.6314E-07
615.02	5.55486E-06	0.000006	4.45138E-07
625.02	5.58182E-06	0.000006	4.18183E-07
635.03	5.60209E-06	0.000006	3.97907E-07
645.01	5.62923E-06	0.000006	3.70769E-07
655.01	5.60228E-06	0.000006	3.97715E-07
665.01	5.65757E-06	0.000006	3.42432E-07
675.02	5.65881E-06	0.000006	3.41193E-07
685.02	5.65656E-06	0.000006	3.43445E-07
695.01	5.67635E-06	0.000006	3.2365E-07
705.02	5.67571E-06	0.000006	3.24295E-07
715.01	5.69359E-06	0.000006	3.06405E-07
725.02	5.69599E-06	0.000006	3.0401E-07
735.01	5.73287E-06	0.000006	2.67134E-07
745.01	5.72456E-06	0.000006	2.75443E-07
755.01	5.72834E-06	0.000006	2.71659E-07
765.02	5.7479E-06	0.000006	2.52096E-07
775.02	5.75207E-06	0.000006	2.4793E-07
785.02	5.76297E-06	0.000006	2.37027E-07
795.02	5.75757E-06	0.000006	2.4243E-07
805.02	5.79275E-06	0.000006	2.07246E-07
815.01	5.78951E-06	0.000006	2.1049E-07
825.01	5.78389E-06	0.000006	2.16112E-07
835.01	5.78158E-06	0.000006	2.18422E-07
845.02	5.80775E-06	0.000006	1.92252E-07
855.01	5.79784E-06	0.000006	2.02158E-07
865.02	5.83102E-06	0.000006	1.68979E-07
875.02	5.80455E-06	0.000006	1.95449E-07
885.01	5.8169E-06	0.000006	1.83098E-07
895.02	5.83134E-06	0.000006	1.68657E-07
905.01	5.82375E-06	0.000006	1.76251E-07
915.01	5.82557E-06	0.000006	1.7443E-07
925.02	5.83717E-06	0.000006	1.62829E-07
935.01	5.8447E-06	0.000006	1.55295E-07
945.01	5.83307E-06	0.000006	1.66931E-07
955.02	5.83772E-06	0.000006	1.62278E-07
965.01	5.86245E-06	0.000006	1.37552E-07
975.01	5.84161E-06	0.000006	1.58388E-07
985.01	5.83924E-06	0.000006	1.60762E-07
995.02	5.84933E-06	0.000006	1.50674E-07
1005.02	5.87774E-06	0.000006	1.22257E-07
1015.01	5.85825E-06	0.000006	1.41751E-07
1025.01	5.87568E-06	0.000006	1.24321E-07
1035.01	5.86697E-06	0.000006	1.33035E-07
1045.01	5.85596E-06	0.000006	1.44037E-07
1055.02	5.87744E-06	0.000006	1.22563E-07
1065.01	5.87491E-06	0.000006	1.25094E-07
1075.01	5.89129E-06	0.000006	1.08705E-07
1085.01	5.87008E-06	0.000006	1.29918E-07
1095.02	5.86432E-06	0.000006	1.35684E-07
1105.01	5.8689E-06	0.000006	1.31099E-07
1115.02	5.86657E-06	0.000006	1.33426E-07
1125.02	5.87299E-06	0.000006	1.27008E-07
1135.02	5.8893E-06	0.000006	1.107E-07
1145.02	5.87604E-06	0.000006	1.23963E-07
1155.01	5.8649E-06	0.000006	1.35102E-07
1165.01	5.88532E-06	0.000006	1.14684E-07
1175.01	5.8676E-06	0.000006	1.32401E-07
1185.03	5.86337E-06	0.000006	1.36633E-07
1195.02	5.89671E-06	0.000006	1.03288E-07
1205.02	5.89824E-06	0.000006	1.01759E-07
1215.02	5.8735E-06	0.000006	1.26499E-07
1225.02	5.85697E-06	0.000006	1.43027E-07
1235.02	5.86825E-06	0.000006	1.31751E-07
1245.01	5.85235E-06	0.000006	1.47654E-07
1255.01	5.88264E-06	0.000006	1.17363E-07
1265.02	5.8801E-06	0.000006	1.19901E-07
1275.02	5.88989E-06	0.000006	1.10111E-07
1285.01	0.0000059	0.000006	1E-07
1295.02	5.88347E-06	0.000006	1.1653E-07
1305.01	5.87055E-06	0.000006	1.29449E-07
1315.02	5.8874E-06	0.000006	1.12597E-07
1325.01	5.87345E-06	0.000006	1.26552E-07
1335.01	5.88006E-06	0.000006	1.19939E-07
1345	5.87884E-06	0.000006	1.2116E-07
1355.02	5.87815E-06	0.000006	1.21847E-07
1365.01	5.89457E-06	0.000006	1.05435E-07
1375.02	5.87616E-06	0.000006	1.23838E-07
1385.02	5.88636E-06	0.000006	1.13642E-07
1395.02	5.86614E-06	0.000006	1.33857E-07
1405.01	5.8678E-06	0.000006	1.32202E-07
1415.01	5.85668E-06	0.000006	1.43321E-07
