Time	4uM	[G-act] (0)	[G-act] (t)
15.04	0	0.000004	0.000004
25.02	6.64196E-09	0.000004	3.99336E-06
35.02	5.58605E-09	0.000004	3.99441E-06
45.01	1.43735E-08	0.000004	3.98563E-06
55.02	2.06517E-08	0.000004	3.97935E-06
65.03	4.049E-08	0.000004	3.95951E-06
75.01	5.76978E-08	0.000004	3.9423E-06
85.02	7.6694E-08	0.000004	3.92331E-06
95.01	9.75697E-08	0.000004	3.90243E-06
105.02	1.20263E-07	0.000004	3.87974E-06
115.02	1.51177E-07	0.000004	3.84882E-06
125.02	1.89723E-07	0.000004	3.81028E-06
135.01	2.20185E-07	0.000004	3.77982E-06
145.02	2.63686E-07	0.000004	3.73631E-06
155.02	3.04296E-07	0.000004	3.6957E-06
165.01	3.58251E-07	0.000004	3.64175E-06
175.01	3.96702E-07	0.000004	3.6033E-06
185.01	4.52205E-07	0.000004	3.54779E-06
195.01	5.00132E-07	0.000004	3.49987E-06
205.02	5.65285E-07	0.000004	3.43471E-06
215.01	6.11949E-07	0.000004	3.38805E-06
225.01	6.76865E-07	0.000004	3.32314E-06
235.01	7.29232E-07	0.000004	3.27077E-06
245.02	7.88121E-07	0.000004	3.21188E-06
255.02	8.40888E-07	0.000004	3.15911E-06
265.02	9.0449E-07	0.000004	3.09551E-06
275.01	9.71206E-07	0.000004	3.02879E-06
285.02	1.03691E-06	0.000004	2.96309E-06
295.02	1.08846E-06	0.000004	2.91154E-06
305.02	1.1493E-06	0.000004	2.8507E-06
315.02	1.20239E-06	0.000004	2.79761E-06
325.02	1.26122E-06	0.000004	2.73878E-06
335.02	1.32399E-06	0.000004	2.67601E-06
345.02	1.38012E-06	0.000004	2.61988E-06
355.01	1.42423E-06	0.000004	2.57577E-06
365.02	1.49624E-06	0.000004	2.50376E-06
375.02	1.5529E-06	0.000004	2.4471E-06
385.02	1.59948E-06	0.000004	2.40052E-06
395.01	1.66082E-06	0.000004	2.33918E-06
405.02	1.70258E-06	0.000004	2.29742E-06
415.02	1.7404E-06	0.000004	2.2596E-06
425.02	1.80109E-06	0.000004	2.19891E-06
