Time (s)	40nM	[G-act]	[F204Y]	[G-act] (t)
15.05	2.37622E-10	0.000002	0.00000004	1.99976E-06
25.02	1.41866E-09	0.000002	0.00000004	1.99858E-06
35.02	0	0.000002	0.00000004	0.000002
45.01	1.38613E-10	0.000002	0.00000004	1.99986E-06
55.02	9.57559E-10	0.000002	0.00000004	1.99904E-06
65.01	1.71003E-09	0.000002	0.00000004	1.99829E-06
75.01	2.03959E-09	0.000002	0.00000004	1.99796E-06
85.02	5.05936E-09	0.000002	0.00000004	1.99494E-06
95.01	7.1329E-09	0.000002	0.00000004	1.99287E-06
105.02	6.81465E-09	0.000002	0.00000004	1.99319E-06
115.02	9.99285E-09	0.000002	0.00000004	1.99001E-06
125.02	1.27792E-08	0.000002	0.00000004	1.98722E-06
135.01	2.00621E-08	0.000002	0.00000004	1.97994E-06
145.01	2.28852E-08	0.000002	0.00000004	1.97711E-06
155.02	2.7154E-08	0.000002	0.00000004	1.97285E-06
165.02	3.2789E-08	0.000002	0.00000004	1.96721E-06
175.01	3.8977E-08	0.000002	0.00000004	1.96102E-06
185.02	4.51481E-08	0.000002	0.00000004	1.95485E-06
195.01	5.74833E-08	0.000002	0.00000004	1.94252E-06
205.01	6.84917E-08	0.000002	0.00000004	1.93151E-06
215.01	7.69032E-08	0.000002	0.00000004	1.9231E-06
225.01	8.69158E-08	0.000002	0.00000004	1.91308E-06
235.01	9.58634E-08	0.000002	0.00000004	1.90414E-06
245.01	1.09726E-07	0.000002	0.00000004	1.89027E-06
255.01	1.25879E-07	0.000002	0.00000004	1.87412E-06
265.01	1.37541E-07	0.000002	0.00000004	1.86246E-06
275.02	1.55334E-07	0.000002	0.00000004	1.84467E-06
285.02	1.74608E-07	0.000002	0.00000004	1.82539E-06
295.01	1.89969E-07	0.000002	0.00000004	1.81003E-06
305.01	2.02936E-07	0.000002	0.00000004	1.79706E-06
315.01	2.22592E-07	0.000002	0.00000004	1.77741E-06
325.02	2.41729E-07	0.000002	0.00000004	1.75827E-06
335.02	2.63664E-07	0.000002	0.00000004	1.73634E-06
345.02	2.81637E-07	0.000002	0.00000004	1.71836E-06
355.01	3.04566E-07	0.000002	0.00000004	1.69543E-06
365.01	3.27412E-07	0.000002	0.00000004	1.67259E-06
375.01	3.40429E-07	0.000002	0.00000004	1.65957E-06
385.02	3.73498E-07	0.000002	0.00000004	1.6265E-06
395.01	4.00722E-07	0.000002	0.00000004	1.59928E-06
405.01	4.23377E-07	0.000002	0.00000004	1.57662E-06
415.01	4.45189E-07	0.000002	0.00000004	1.55481E-06
425.02	4.70569E-07	0.000002	0.00000004	1.52943E-06
435.01	4.94719E-07	0.000002	0.00000004	1.50528E-06
445.02	5.16182E-07	0.000002	0.00000004	1.48382E-06
455.01	5.5637E-07	0.000002	0.00000004	1.44363E-06
