Time (s)	Actin	[G-act]	[A208W]	[G-act] (t)
1225.01	5.03E-07	0.000002	0	1.49675E-06
1235.02	5.11E-07	0.000002	0	1.4891E-06
1245.01	5.08E-07	0.000002	0	1.49207E-06
1255.02	5.18E-07	0.000002	0	1.48197E-06
1265.01	5.17E-07	0.000002	0	1.48302E-06
1275.02	5.32E-07	0.000002	0	1.46814E-06
1285.01	5.33E-07	0.000002	0	1.4672E-06
1295.01	5.41E-07	0.000002	0	1.4592E-06
1305.01	5.50E-07	0.000002	0	1.45047E-06
1315.01	5.56E-07	0.000002	0	1.44426E-06
1325.01	5.56E-07	0.000002	0	1.44416E-06
1335.01	5.60E-07	0.000002	0	1.43963E-06
1345.01	5.71E-07	0.000002	0	1.42898E-06
1355.01	5.74E-07	0.000002	0	1.4265E-06
1365.01	5.88E-07	0.000002	0	1.41182E-06
1375.01	5.89E-07	0.000002	0	1.41126E-06
1385.02	5.93E-07	0.000002	0	1.40706E-06
1395.02	6.00E-07	0.000002	0	1.39998E-06
1405.02	6.06E-07	0.000002	0	1.39379E-06
1415.01	6.17E-07	0.000002	0	1.38303E-06
1425.03	6.20E-07	0.000002	0	1.38029E-06
1435.02	6.23E-07	0.000002	0	1.37694E-06
1445.01	6.30E-07	0.000002	0	1.37039E-06
1455.02	6.31E-07	0.000002	0	1.36888E-06
1465.02	6.37E-07	0.000002	0	1.36294E-06
1475.01	6.43E-07	0.000002	0	1.35725E-06
1485.02	6.51E-07	0.000002	0	1.34885E-06
1495.02	6.57E-07	0.000002	0	1.34276E-06
1505.01	6.70E-07	0.000002	0	1.32952E-06
1515.02	6.70E-07	0.000002	0	1.33036E-06
1525.01	6.73E-07	0.000002	0	1.32677E-06
1535.02	6.85E-07	0.000002	0	1.31505E-06
1545.01	6.84E-07	0.000002	0	1.31638E-06
1555.01	6.87E-07	0.000002	0	1.31294E-06
1565.02	7.00E-07	0.000002	0	1.30016E-06
1575.02	7.03E-07	0.000002	0	1.29717E-06
1585.01	7.15E-07	0.000002	0	1.28507E-06
1595.02	7.15E-07	0.000002	0	1.28486E-06
1605.01	7.23E-07	0.000002	0	1.27744E-06
1615.02	7.20E-07	0.000002	0	1.27964E-06
1625.01	7.37E-07	0.000002	0	1.26332E-06
1635.02	7.36E-07	0.000002	0	1.2637E-06
1645.02	7.46E-07	0.000002	0	1.25427E-06
1655.01	7.53E-07	0.000002	0	1.24651E-06
1665.01	7.58E-07	0.000002	0	1.2419E-06
1675.03	7.63E-07	0.000002	0	1.23745E-06
1685.01	7.69E-07	0.000002	0	1.2314E-06
1695.02	7.80E-07	0.000002	0	1.21989E-06
1705.02	7.77E-07	0.000002	0	1.22263E-06
1715.02	7.91E-07	0.000002	0	1.20898E-06
1725.01	7.89E-07	0.000002	0	1.21127E-06
1735.01	7.99E-07	0.000002	0	1.2015E-06
1745	7.99E-07	0.000002	0	1.20065E-06
1755.01	8.01E-07	0.000002	0	1.19932E-06
1765.02	8.08E-07	0.000002	0	1.19162E-06
1775.02	8.17E-07	0.000002	0	1.18312E-06
1785.01	8.22E-07	0.000002	0	1.17837E-06
1795.02	8.29E-07	0.000002	0	1.17062E-06
1805.01	8.30E-07	0.000002	0	1.17016E-06
1815.01	8.35E-07	0.000002	0	1.16477E-06
1825.01	8.35E-07	0.000002	0	1.16517E-06
1835.01	8.52E-07	0.000002	0	1.14772E-06
1845.01	8.52E-07	0.000002	0	1.14785E-06
1855.01	8.66E-07	0.000002	0	1.13411E-06
1865.02	8.61E-07	0.000002	0	1.13894E-06
1875.02	8.64E-07	0.000002	0	1.13643E-06
1885.01	8.76E-07	0.000002	0	1.12382E-06
1895.01	8.72E-07	0.000002	0	1.1275E-06
1905.02	8.77E-07	0.000002	0	1.12317E-06
1915.02	8.86E-07	0.000002	0	1.1138E-06
1925.01	8.94E-07	0.000002	0	1.10582E-06
1935.01	8.93E-07	0.000002	0	1.1074E-06
1945.01	9.06E-07	0.000002	0	1.09361E-06
1955.01	9.04E-07	0.000002	0	1.09647E-06
1965.02	9.14E-07	0.000002	0	1.08588E-06
1975.02	9.30E-07	0.000002	0	1.07047E-06
1985.01	9.24E-07	0.000002	0	1.07637E-06
1995.02	9.26E-07	0.000002	0	1.07392E-06
2005.01	9.38E-07	0.000002	0	1.06232E-06
2015.01	9.36E-07	0.000002	0	1.06363E-06
2025.02	9.49E-07	0.000002	0	1.05093E-06
2035.02	9.49E-07	0.000002	0	1.0505E-06
2045.01	9.53E-07	0.000002	0	1.04726E-06
2055.01	9.56E-07	0.000002	0	1.04417E-06
2065.02	9.67E-07	0.000002	0	1.03251E-06
2075.01	9.69E-07	0.000002	0	1.03089E-06
2085.01	9.62E-07	0.000002	0	1.03773E-06
2095.02	9.78E-07	0.000002	0	1.02249E-06
2105.01	9.84E-07	0.000002	0	1.01637E-06
2115.02	9.80E-07	0.000002	0	1.0205E-06
2125.02	9.91E-07	0.000002	0	1.0089E-06
2135.02	9.96E-07	0.000002	0	1.00437E-06
2145.02	1.01E-06	0.000002	0	9.91308E-07
2155.01	1.01E-06	0.000002	0	9.93114E-07
2165.02	1.01E-06	0.000002	0	9.90544E-07
2175.01	1.02E-06	0.000002	0	9.84207E-07
2185.01	1.02E-06	0.000002	0	9.79779E-07
2195.01	1.03E-06	0.000002	0	9.66467E-07
2205.02	1.03E-06	0.000002	0	9.67175E-07
2215.02	1.02E-06	0.000002	0	9.75729E-07
2225.02	1.04E-06	0.000002	0	9.60065E-07
2235.01	1.04E-06	0.000002	0	9.58181E-07
2245.02	1.04E-06	0.000002	0	9.56624E-07
2255.01	1.06E-06	0.000002	0	9.44168E-07
2265.02	1.05E-06	0.000002	0	9.45822E-07
2275.02	1.06E-06	0.000002	0	9.39199E-07
2285.01	1.07E-06	0.000002	0	9.26662E-07
2295.01	1.07E-06	0.000002	0	9.31808E-07
2305.01	1.07E-06	0.000002	0	9.26182E-07
2315.02	1.08E-06	0.000002	0	9.20779E-07
2325.01	1.08E-06	0.000002	0	9.2147E-07
2335.01	1.09E-06	0.000002	0	9.12757E-07
2345.01	1.10E-06	0.000002	0	8.99901E-07
2355.02	1.10E-06	0.000002	0	9.02053E-07
2365.01	1.09E-06	0.000002	0	9.10739E-07
2375.01	1.11E-06	0.000002	0	8.92364E-07
2385.02	1.10E-06	0.000002	0	8.9648E-07
2395.01	1.11E-06	0.000002	0	8.89806E-07
2405.02	1.12E-06	0.000002	0	8.84558E-07
2415.02	1.12E-06	0.000002	0	8.78803E-07
2425.02	1.13E-06	0.000002	0	8.7392E-07
2435.01	1.13E-06	0.000002	0	8.741E-07
2445.01	1.14E-06	0.000002	0	8.62655E-07
2455.01	1.15E-06	0.000002	0	8.45267E-07
2465.01	1.15E-06	0.000002	0	8.51017E-07
2475.02	1.15E-06	0.000002	0	8.54759E-07
2485.02	1.15E-06	0.000002	0	8.51894E-07
2495.01	1.15E-06	0.000002	0	8.4654E-07
2505.01	1.16E-06	0.000002	0	8.39634E-07
2515.01	1.17E-06	0.000002	0	8.31165E-07
2525.01	1.17E-06	0.000002	0	8.32437E-07
2535.01	1.17E-06	0.000002	0	8.29156E-07
2545.02	1.18E-06	0.000002	0	8.20773E-07
2555.02	1.17E-06	0.000002	0	8.28083E-07
2565.01	1.18E-06	0.000002	0	8.16656E-07
2575.02	1.18E-06	0.000002	0	8.15476E-07
2585.01	1.18E-06	0.000002	0	8.17155E-07
2595.01	1.20E-06	0.000002	0	8.01464E-07
2605.02	1.19E-06	0.000002	0	8.1093E-07
2615.01	1.20E-06	0.000002	0	8.0077E-07
2625.01	1.21E-06	0.000002	0	7.86682E-07
2635.01	1.21E-06	0.000002	0	7.88455E-07
2645.02	1.22E-06	0.000002	0	7.84067E-07
2655.02	1.22E-06	0.000002	0	7.80366E-07
2665.02	1.22E-06	0.000002	0	7.83452E-07
2675.02	1.22E-06	0.000002	0	7.77462E-07
2685	1.23E-06	0.000002	0	7.72301E-07
2695.02	1.24E-06	0.000002	0	7.64748E-07
2705.02	1.24E-06	0.000002	0	7.61309E-07
2715.02	1.23E-06	0.000002	0	7.66037E-07
2725.01	1.24E-06	0.000002	0	7.60358E-07
2735.01	1.24E-06	0.000002	0	7.59316E-07
2745.01	1.25E-06	0.000002	0	7.45887E-07
2755.01	1.25E-06	0.000002	0	7.53394E-07
2765.01	1.26E-06	0.000002	0	7.43224E-07
2775.01	1.26E-06	0.000002	0	7.43817E-07
2785.02	1.26E-06	0.000002	0	7.39064E-07
2795.01	1.27E-06	0.000002	0	7.28303E-07
2805.01	1.27E-06	0.000002	0	7.27231E-07
