Time (s)	20nM_2	[G-act]	[F204Y]	[G-act] (t)
475.01	3.48162E-07	0.000002	0.00000002	1.65184E-06
485.03	3.67854E-07	0.000002	0.00000002	1.63215E-06
495.01	3.85297E-07	0.000002	0.00000002	1.6147E-06
505.02	3.97093E-07	0.000002	0.00000002	1.60291E-06
515.01	4.13775E-07	0.000002	0.00000002	1.58622E-06
525.01	4.31583E-07	0.000002	0.00000002	1.56842E-06
535.02	4.43687E-07	0.000002	0.00000002	1.55631E-06
545.01	4.67396E-07	0.000002	0.00000002	1.5326E-06
555.01	4.81699E-07	0.000002	0.00000002	1.5183E-06
565.01	4.97319E-07	0.000002	0.00000002	1.50268E-06
575.02	5.19106E-07	0.000002	0.00000002	1.48089E-06
585.01	5.34722E-07	0.000002	0.00000002	1.46528E-06
595.02	5.45096E-07	0.000002	0.00000002	1.4549E-06
605.01	5.73058E-07	0.000002	0.00000002	1.42694E-06
615.02	5.86101E-07	0.000002	0.00000002	1.4139E-06
625.01	6.06548E-07	0.000002	0.00000002	1.39345E-06
635.01	6.19379E-07	0.000002	0.00000002	1.38062E-06
645.02	6.45425E-07	0.000002	0.00000002	1.35457E-06
655.02	6.57776E-07	0.000002	0.00000002	1.34222E-06
665.02	6.78946E-07	0.000002	0.00000002	1.32105E-06
675.01	7.03575E-07	0.000002	0.00000002	1.29642E-06
685.01	7.30953E-07	0.000002	0.00000002	1.26905E-06
695.02	7.44006E-07	0.000002	0.00000002	1.25599E-06
705.02	7.56021E-07	0.000002	0.00000002	1.24398E-06
715.01	7.77329E-07	0.000002	0.00000002	1.22267E-06
725.02	7.95857E-07	0.000002	0.00000002	1.20414E-06
735.01	8.28309E-07	0.000002	0.00000002	1.17169E-06
745.02	8.30386E-07	0.000002	0.00000002	1.16961E-06
755.02	8.58739E-07	0.000002	0.00000002	1.14126E-06
765.02	8.85604E-07	0.000002	0.00000002	1.1144E-06
775.01	9.00484E-07	0.000002	0.00000002	1.09952E-06
785.01	9.16466E-07	0.000002	0.00000002	1.08353E-06
795.02	9.40929E-07	0.000002	0.00000002	1.05907E-06
805.01	9.48731E-07	0.000002	0.00000002	1.05127E-06
815.01	9.76251E-07	0.000002	0.00000002	1.02375E-06
825.02	9.92305E-07	0.000002	0.00000002	1.00769E-06
835.01	1.0157E-06	0.000002	0.00000002	9.84298E-07
845.02	1.03338E-06	0.000002	0.00000002	9.6662E-07
855.02	1.05286E-06	0.000002	0.00000002	9.47142E-07
865.01	1.07207E-06	0.000002	0.00000002	9.27928E-07
875.01	1.09338E-06	0.000002	0.00000002	9.06622E-07
885.02	1.11371E-06	0.000002	0.00000002	8.8629E-07
895.01	1.12855E-06	0.000002	0.00000002	8.71446E-07
905.02	1.13927E-06	0.000002	0.00000002	8.60726E-07
915.02	1.16539E-06	0.000002	0.00000002	8.34611E-07
925.01	1.18035E-06	0.000002	0.00000002	8.19654E-07
935.02	1.20098E-06	0.000002	0.00000002	7.99024E-07
945.01	1.21647E-06	0.000002	0.00000002	7.8353E-07
955.01	1.23565E-06	0.000002	0.00000002	7.64355E-07
965.02	1.25355E-06	0.000002	0.00000002	7.46449E-07
975.02	1.2764E-06	0.000002	0.00000002	7.23595E-07
985.02	1.28492E-06	0.000002	0.00000002	7.15084E-07
995.01	1.29897E-06	0.000002	0.00000002	7.01034E-07
1005.02	1.32327E-06	0.000002	0.00000002	6.76734E-07
1015.01	1.34136E-06	0.000002	0.00000002	6.58638E-07
1025.01	1.35087E-06	0.000002	0.00000002	6.49129E-07
1035.01	1.36263E-06	0.000002	0.00000002	6.37369E-07
1045.02	1.37322E-06	0.000002	0.00000002	6.26777E-07
1055.02	1.3892E-06	0.000002	0.00000002	6.10802E-07
1065.02	1.41667E-06	0.000002	0.00000002	5.83328E-07
1075.01	1.43239E-06	0.000002	0.00000002	5.67615E-07
1085.01	1.43999E-06	0.000002	0.00000002	5.6001E-07
1095.01	1.4583E-06	0.000002	0.00000002	5.417E-07
1105.03	1.47132E-06	0.000002	0.00000002	5.28679E-07
1115.01	1.47687E-06	0.000002	0.00000002	5.23127E-07
1125.01	1.49275E-06	0.000002	0.00000002	5.07255E-07
1135.02	1.51128E-06	0.000002	0.00000002	4.88723E-07
1145.02	1.52213E-06	0.000002	0.00000002	4.77873E-07
1155.01	1.53511E-06	0.000002	0.00000002	4.64887E-07
1165.01	1.55619E-06	0.000002	0.00000002	4.43812E-07
1175.02	1.5629E-06	0.000002	0.00000002	4.37103E-07
1185.02	1.57496E-06	0.000002	0.00000002	4.25041E-07
1195.02	1.58695E-06	0.000002	0.00000002	4.13053E-07
1205.01	1.59635E-06	0.000002	0.00000002	4.03653E-07
1215.01	1.6101E-06	0.000002	0.00000002	3.899E-07
1225.01	1.6214E-06	0.000002	0.00000002	3.786E-07
1235.02	1.63629E-06	0.000002	0.00000002	3.63709E-07
1245.01	1.63531E-06	0.000002	0.00000002	3.64693E-07
1255.02	1.63965E-06	0.000002	0.00000002	3.60351E-07
1265.01	1.66784E-06	0.000002	0.00000002	3.32164E-07
1275.02	1.66758E-06	0.000002	0.00000002	3.32417E-07
1285.01	1.67447E-06	0.000002	0.00000002	3.25529E-07
1295.01	1.68792E-06	0.000002	0.00000002	3.12081E-07
1305.01	1.69255E-06	0.000002	0.00000002	3.07448E-07
1315.01	1.71242E-06	0.000002	0.00000002	2.87577E-07
1325.01	1.70675E-06	0.000002	0.00000002	2.93247E-07
1335.01	1.71457E-06	0.000002	0.00000002	2.8543E-07
1345.01	1.72172E-06	0.000002	0.00000002	2.7828E-07
1355.01	1.73798E-06	0.000002	0.00000002	2.62024E-07
1365.01	1.74374E-06	0.000002	0.00000002	2.56262E-07
1375.01	1.75409E-06	0.000002	0.00000002	2.45905E-07
1385.02	1.75568E-06	0.000002	0.00000002	2.44316E-07
1395.02	1.74859E-06	0.000002	0.00000002	2.51414E-07
1405.02	1.76674E-06	0.000002	0.00000002	2.33263E-07
1415.01	1.76817E-06	0.000002	0.00000002	2.31834E-07
1425.03	1.77408E-06	0.000002	0.00000002	2.25925E-07
1435.02	1.78116E-06	0.000002	0.00000002	2.18839E-07
1445.01	1.78462E-06	0.000002	0.00000002	2.15376E-07
1455.02	1.78938E-06	0.000002	0.00000002	2.1062E-07
1465.02	1.79987E-06	0.000002	0.00000002	2.00128E-07
1475.01	1.80648E-06	0.000002	0.00000002	1.93519E-07
1485.02	1.81656E-06	0.000002	0.00000002	1.83442E-07
1495.02	1.80767E-06	0.000002	0.00000002	1.92333E-07
1505.01	1.81291E-06	0.000002	0.00000002	1.87089E-07
1515.02	1.83155E-06	0.000002	0.00000002	1.68449E-07
1525.01	1.83079E-06	0.000002	0.00000002	1.69205E-07
1535.02	1.8308E-06	0.000002	0.00000002	1.69204E-07
1545.01	1.8239E-06	0.000002	0.00000002	1.76104E-07
1555.01	1.83373E-06	0.000002	0.00000002	1.66274E-07
1565.02	1.84694E-06	0.000002	0.00000002	1.53064E-07
1575.02	1.84018E-06	0.000002	0.00000002	1.5982E-07
1585.01	1.84189E-06	0.000002	0.00000002	1.58107E-07
1595.02	1.85226E-06	0.000002	0.00000002	1.47742E-07
1605.01	1.85135E-06	0.000002	0.00000002	1.4865E-07
1615.02	1.86024E-06	0.000002	0.00000002	1.39756E-07
1625.01	1.85619E-06	0.000002	0.00000002	1.4381E-07
1635.02	1.86607E-06	0.000002	0.00000002	1.33926E-07
1645.02	1.87613E-06	0.000002	0.00000002	1.23874E-07
1655.01	1.86195E-06	0.000002	0.00000002	1.38055E-07
1665.01	1.86822E-06	0.000002	0.00000002	1.31785E-07
1675.03	1.86978E-06	0.000002	0.00000002	1.30223E-07
1685.01	1.87772E-06	0.000002	0.00000002	1.22283E-07
1695.02	1.87738E-06	0.000002	0.00000002	1.22625E-07
1705.02	1.87931E-06	0.000002	0.00000002	1.20694E-07
1715.02	1.87277E-06	0.000002	0.00000002	1.27233E-07
1725.01	1.87612E-06	0.000002	0.00000002	1.23875E-07
1735.01	1.8744E-06	0.000002	0.00000002	1.25596E-07
1745	1.88782E-06	0.000002	0.00000002	1.1218E-07
1755.01	1.87743E-06	0.000002	0.00000002	1.22566E-07
1765.02	1.8731E-06	0.000002	0.00000002	1.26898E-07
1775.02	1.8853E-06	0.000002	0.00000002	1.14699E-07
1785.01	1.88156E-06	0.000002	0.00000002	1.18441E-07
1795.02	1.87065E-06	0.000002	0.00000002	1.29349E-07
1805.01	1.89097E-06	0.000002	0.00000002	1.09034E-07
1815.01	1.88587E-06	0.000002	0.00000002	1.14129E-07
1825.01	1.89389E-06	0.000002	0.00000002	1.06107E-07
1835.01	1.88419E-06	0.000002	0.00000002	1.15807E-07
1845.01	1.8841E-06	0.000002	0.00000002	1.15897E-07
1855.01	1.8874E-06	0.000002	0.00000002	1.12605E-07
1865.02	1.88764E-06	0.000002	0.00000002	1.12364E-07
1875.02	1.89522E-06	0.000002	0.00000002	1.04775E-07
1885.01	0.0000019	0.000002	0.00000002	1E-07
1895.01	1.89175E-06	0.000002	0.00000002	1.08248E-07
1905.02	1.89562E-06	0.000002	0.00000002	1.04376E-07
1915.02	1.89138E-06	0.000002	0.00000002	1.08619E-07
1925.01	1.88687E-06	0.000002	0.00000002	1.13129E-07
1935.01	1.89787E-06	0.000002	0.00000002	1.02126E-07
1945.01	1.89521E-06	0.000002	0.00000002	1.04793E-07
1955.01	1.89787E-06	0.000002	0.00000002	1.02131E-07
1965.02	1.88874E-06	0.000002	0.00000002	1.11263E-07
1975.02	1.88752E-06	0.000002	0.00000002	1.12475E-07
1985.01	1.89359E-06	0.000002	0.00000002	1.06408E-07
1995.02	1.89793E-06	0.000002	0.00000002	1.02075E-07
2005.01	1.88637E-06	0.000002	0.00000002	1.13629E-07
2015.01	1.89259E-06	0.000002	0.00000002	1.07415E-07
2025.02	1.87989E-06	0.000002	0.00000002	1.20108E-07
2035.02	1.87931E-06	0.000002	0.00000002	1.20694E-07
2045.01	1.88195E-06	0.000002	0.00000002	1.18047E-07
2055.01	1.89119E-06	0.000002	0.00000002	1.08807E-07
2065.02	1.88945E-06	0.000002	0.00000002	1.10552E-07
2075.01	1.88284E-06	0.000002	0.00000002	1.17159E-07
2085.01	1.88006E-06	0.000002	0.00000002	1.19942E-07
2095.02	1.87942E-06	0.000002	0.00000002	1.20576E-07
2105.01	1.89243E-06	0.000002	0.00000002	1.07565E-07
2115.02	1.88677E-06	0.000002	0.00000002	1.13233E-07
2125.02	1.88788E-06	0.000002	0.00000002	1.12118E-07
2135.02	1.88487E-06	0.000002	0.00000002	1.15126E-07
2145.02	1.89054E-06	0.000002	0.00000002	1.09457E-07
2155.01	1.87056E-06	0.000002	0.00000002	1.29442E-07
2165.02	1.87941E-06	0.000002	0.00000002	1.20589E-07
2175.01	1.87308E-06	0.000002	0.00000002	1.26915E-07
