Time (s)	20nM_2	[G-act]	[F204Y]	[G-act] (t)
15.05	4.40424E-09	0.000002	0.00000002	1.9956E-06
25.02	2.24995E-09	0.000002	0.00000002	1.99775E-06
35.02	4.21736E-09	0.000002	0.00000002	1.99578E-06
45.01	0	0.000002	0.00000002	0.000002
55.02	2.06159E-09	0.000002	0.00000002	1.99794E-06
65.01	2.1543E-09	0.000002	0.00000002	1.99785E-06
75.01	7.15009E-09	0.000002	0.00000002	1.99285E-06
85.02	4.67059E-09	0.000002	0.00000002	1.99533E-06
95.01	7.30312E-09	0.000002	0.00000002	1.9927E-06
105.02	7.36493E-09	0.000002	0.00000002	1.99264E-06
115.02	1.10084E-08	0.000002	0.00000002	1.98899E-06
125.02	1.2477E-08	0.000002	0.00000002	1.98752E-06
135.01	1.81541E-08	0.000002	0.00000002	1.98185E-06
145.01	2.43271E-08	0.000002	0.00000002	1.97567E-06
155.02	2.66903E-08	0.000002	0.00000002	1.97331E-06
165.02	3.08974E-08	0.000002	0.00000002	1.9691E-06
175.01	3.25043E-08	0.000002	0.00000002	1.9675E-06
185.02	3.95219E-08	0.000002	0.00000002	1.96048E-06
195.01	4.41793E-08	0.000002	0.00000002	1.95582E-06
205.01	5.2508E-08	0.000002	0.00000002	1.94749E-06
215.01	5.80483E-08	0.000002	0.00000002	1.94195E-06
225.01	6.53205E-08	0.000002	0.00000002	1.93468E-06
235.01	7.31578E-08	0.000002	0.00000002	1.92684E-06
245.01	8.20384E-08	0.000002	0.00000002	1.91796E-06
255.01	8.77243E-08	0.000002	0.00000002	1.91228E-06
265.01	9.40518E-08	0.000002	0.00000002	1.90595E-06
275.02	1.04726E-07	0.000002	0.00000002	1.89527E-06
285.02	1.16641E-07	0.000002	0.00000002	1.88336E-06
295.01	1.2508E-07	0.000002	0.00000002	1.87492E-06
305.01	1.31458E-07	0.000002	0.00000002	1.86854E-06
315.01	1.43464E-07	0.000002	0.00000002	1.85654E-06
325.02	1.5508E-07	0.000002	0.00000002	1.84492E-06
335.02	1.64817E-07	0.000002	0.00000002	1.83518E-06
345.02	1.76415E-07	0.000002	0.00000002	1.82358E-06
355.01	1.86663E-07	0.000002	0.00000002	1.81334E-06
365.01	1.98573E-07	0.000002	0.00000002	1.80143E-06
375.01	2.1231E-07	0.000002	0.00000002	1.78769E-06
385.02	2.21222E-07	0.000002	0.00000002	1.77878E-06
395.01	2.39046E-07	0.000002	0.00000002	1.76095E-06
405.01	2.47116E-07	0.000002	0.00000002	1.75288E-06
415.01	2.5941E-07	0.000002	0.00000002	1.74059E-06
425.02	2.77136E-07	0.000002	0.00000002	1.72286E-06
435.01	2.87434E-07	0.000002	0.00000002	1.71257E-06
445.02	3.08553E-07	0.000002	0.00000002	1.69145E-06
455.01	3.18186E-07	0.000002	0.00000002	1.68181E-06
465.02	3.38283E-07	0.000002	0.00000002	1.66172E-06
