Time (s)	[F-actin] M	[G-act]	[SPIN90]	[G-act] (t)	[Arp2/3]
15.04	0	0.000003	0.00001	0.000003	0.000000025
25.03	7.58451E-09	0.000003	0.00001	2.99242E-06	0.000000025
35.01	1.5877E-08	0.000003	0.00001	2.98412E-06	0.000000025
45.02	3.25556E-08	0.000003	0.00001	2.96744E-06	0.000000025
55.02	5.80627E-08	0.000003	0.00001	2.94194E-06	0.000000025
65.02	8.9765E-08	0.000003	0.00001	2.91023E-06	0.000000025
75.01	1.29069E-07	0.000003	0.00001	2.87093E-06	0.000000025
85.01	1.69207E-07	0.000003	0.00001	2.83079E-06	0.000000025
95.02	2.2226E-07	0.000003	0.00001	2.77774E-06	0.000000025
105.01	2.76402E-07	0.000003	0.00001	2.7236E-06	0.000000025
115.03	3.39244E-07	0.000003	0.00001	2.66076E-06	0.000000025
125.01	4.01695E-07	0.000003	0.00001	2.59831E-06	0.000000025
135.01	4.69476E-07	0.000003	0.00001	2.53052E-06	0.000000025
145.02	5.46388E-07	0.000003	0.00001	2.45361E-06	0.000000025
155.02	6.2827E-07	0.000003	0.00001	2.37173E-06	0.000000025
165.01	7.03552E-07	0.000003	0.00001	2.29645E-06	0.000000025
175.01	7.84983E-07	0.000003	0.00001	2.21502E-06	0.000000025
185.01	8.60452E-07	0.000003	0.00001	2.13955E-06	0.000000025
195.02	9.38164E-07	0.000003	0.00001	2.06184E-06	0.000000025
205.02	1.02978E-06	0.000003	0.00001	1.97022E-06	0.000000025
215.02	1.09918E-06	0.000003	0.00001	1.90082E-06	0.000000025
225.02	1.17577E-06	0.000003	0.00001	1.82423E-06	0.000000025
235.01	1.24802E-06	0.000003	0.00001	1.75198E-06	0.000000025
245.01	1.32856E-06	0.000003	0.00001	1.67144E-06	0.000000025
255.02	1.40721E-06	0.000003	0.00001	1.59279E-06	0.000000025
265.02	1.46785E-06	0.000003	0.00001	1.53215E-06	0.000000025
275.01	1.55273E-06	0.000003	0.00001	1.44727E-06	0.000000025
285.02	1.60939E-06	0.000003	0.00001	1.39061E-06	0.000000025
295.02	1.66979E-06	0.000003	0.00001	1.33021E-06	0.000000025
305.01	1.73945E-06	0.000003	0.00001	1.26055E-06	0.000000025
315.02	1.79823E-06	0.000003	0.00001	1.20177E-06	0.000000025
325.01	1.86047E-06	0.000003	0.00001	1.13953E-06	0.000000025
335.01	1.91235E-06	0.000003	0.00001	1.08765E-06	0.000000025
345.01	1.95384E-06	0.000003	0.00001	1.04616E-06	0.000000025
355.01	2.00293E-06	0.000003	0.00001	9.97072E-07	0.000000025
365.02	2.06424E-06	0.000003	0.00001	9.35764E-07	0.000000025
375.02	2.10712E-06	0.000003	0.00001	8.9288E-07	0.000000025
385.01	2.15744E-06	0.000003	0.00001	8.42564E-07	0.000000025
395.02	2.19388E-06	0.000003	0.00001	8.06122E-07	0.000000025
405.01	2.21883E-06	0.000003	0.00001	7.81166E-07	0.000000025
415.02	2.26718E-06	0.000003	0.00001	7.32819E-07	0.000000025
425.02	2.31921E-06	0.000003	0.00001	6.80791E-07	0.000000025
435.02	2.32691E-06	0.000003	0.00001	6.73093E-07	0.000000025
445.01	2.38013E-06	0.000003	0.00001	6.19873E-07	0.000000025
455.02	2.39685E-06	0.000003	0.00001	6.03151E-07	0.000000025
465.02	2.44294E-06	0.000003	0.00001	5.57056E-07	0.000000025
475.01	2.46778E-06	0.000003	0.00001	5.32218E-07	0.000000025
485.01	2.4911E-06	0.000003	0.00001	5.08904E-07	0.000000025
495.02	2.50734E-06	0.000003	0.00001	4.92663E-07	0.000000025
505.01	2.53299E-06	0.000003	0.00001	4.67007E-07	0.000000025
515.01	2.54715E-06	0.000003	0.00001	4.5285E-07	0.000000025
525.02	2.56992E-06	0.000003	0.00001	4.30083E-07	0.000000025
535.02	2.59992E-06	0.000003	0.00001	4.00082E-07	0.000000025
545.01	2.62632E-06	0.000003	0.00001	3.73675E-07	0.000000025
555.02	2.631E-06	0.000003	0.00001	3.69005E-07	0.000000025
565.01	2.64154E-06	0.000003	0.00001	3.58461E-07	0.000000025
575.01	2.66931E-06	0.000003	0.00001	3.30695E-07	0.000000025
585.02	2.68997E-06	0.000003	0.00001	3.10033E-07	0.000000025
595.02	2.69461E-06	0.000003	0.00001	3.05395E-07	0.000000025
605.02	2.71428E-06	0.000003	0.00001	2.85722E-07	0.000000025
615.02	2.7343E-06	0.000003	0.00001	2.65704E-07	0.000000025
625.02	2.74028E-06	0.000003	0.00001	2.59717E-07	0.000000025
635.01	2.75941E-06	0.000003	0.00001	2.40586E-07	0.000000025
645	2.73908E-06	0.000003	0.00001	2.60921E-07	0.000000025
655.02	2.75042E-06	0.000003	0.00001	2.49581E-07	0.000000025
665.03	2.76463E-06	0.000003	0.00001	2.35374E-07	0.000000025
675.02	2.79156E-06	0.000003	0.00001	2.08436E-07	0.000000025
685.01	2.79749E-06	0.000003	0.00001	2.02514E-07	0.000000025
695.01	2.80809E-06	0.000003	0.00001	1.91911E-07	0.000000025
705.02	2.81161E-06	0.000003	0.00001	1.88386E-07	0.000000025
715.02	2.819E-06	0.000003	0.00001	1.81003E-07	0.000000025
725.02	2.83411E-06	0.000003	0.00001	1.65891E-07	0.000000025
735.02	2.82878E-06	0.000003	0.00001	1.71221E-07	0.000000025
745.01	2.84673E-06	0.000003	0.00001	1.53269E-07	0.000000025
755.02	2.85299E-06	0.000003	0.00001	1.47012E-07	0.000000025
765.02	2.85191E-06	0.000003	0.00001	1.48092E-07	0.000000025
775.02	2.84827E-06	0.000003	0.00001	1.51727E-07	0.000000025
785.01	2.85506E-06	0.000003	0.00001	1.44938E-07	0.000000025
795.02	2.86955E-06	0.000003	0.00001	1.30447E-07	0.000000025
805.02	2.87115E-06	0.000003	0.00001	1.28849E-07	0.000000025
815.01	2.86502E-06	0.000003	0.00001	1.3498E-07	0.000000025
825.03	2.8719E-06	0.000003	0.00001	1.28102E-07	0.000000025
835.02	2.85607E-06	0.000003	0.00001	1.43932E-07	0.000000025
845.03	2.87838E-06	0.000003	0.00001	1.21623E-07	0.000000025
855.01	2.88368E-06	0.000003	0.00001	1.16325E-07	0.000000025
865.01	2.87586E-06	0.000003	0.00001	1.24138E-07	0.000000025
875.01	2.87438E-06	0.000003	0.00001	1.25619E-07	0.000000025
885.02	2.87659E-06	0.000003	0.00001	1.23406E-07	0.000000025
895.01	2.876E-06	0.000003	0.00001	1.24004E-07	0.000000025
905.02	2.87081E-06	0.000003	0.00001	1.29186E-07	0.000000025
915.02	2.88969E-06	0.000003	0.00001	1.1031E-07	0.000000025
925.02	2.87827E-06	0.000003	0.00001	1.2173E-07	0.000000025
935.02	2.87454E-06	0.000003	0.00001	1.25459E-07	0.000000025
945.02	2.89858E-06	0.000003	0.00001	1.01416E-07	0.000000025
955.01	2.87E-06	0.000003	0.00001	1.30001E-07	0.000000025
965.02	2.8919E-06	0.000003	0.00001	1.08104E-07	0.000000025
