Time (s)	[F-actin] M	[G-act]	[SPIN90]	[G-act] (t)	[Arp2/3]
775.02	2.2778E-06	0.000003	0.000001	7.22196E-07	0.000000025
785.01	2.28568E-06	0.000003	0.000001	7.14317E-07	0.000000025
795.02	2.29265E-06	0.000003	0.000001	7.07348E-07	0.000000025
805.02	2.32325E-06	0.000003	0.000001	6.76752E-07	0.000000025
815.01	2.33782E-06	0.000003	0.000001	6.62179E-07	0.000000025
825.03	2.34582E-06	0.000003	0.000001	6.54177E-07	0.000000025
835.02	2.36366E-06	0.000003	0.000001	6.3634E-07	0.000000025
845.03	2.37775E-06	0.000003	0.000001	6.22252E-07	0.000000025
855.01	2.39258E-06	0.000003	0.000001	6.07423E-07	0.000000025
865.01	2.40427E-06	0.000003	0.000001	5.95734E-07	0.000000025
875.01	2.4337E-06	0.000003	0.000001	5.66304E-07	0.000000025
885.02	2.43304E-06	0.000003	0.000001	5.66961E-07	0.000000025
895.01	2.44636E-06	0.000003	0.000001	5.53642E-07	0.000000025
905.02	2.44677E-06	0.000003	0.000001	5.53232E-07	0.000000025
915.02	2.47064E-06	0.000003	0.000001	5.29358E-07	0.000000025
925.02	2.4876E-06	0.000003	0.000001	5.12397E-07	0.000000025
935.02	2.49779E-06	0.000003	0.000001	5.02212E-07	0.000000025
945.02	2.5157E-06	0.000003	0.000001	4.84296E-07	0.000000025
955.01	2.52954E-06	0.000003	0.000001	4.7046E-07	0.000000025
965.02	2.53857E-06	0.000003	0.000001	4.61428E-07	0.000000025
975.02	2.55169E-06	0.000003	0.000001	4.48313E-07	0.000000025
985	2.54348E-06	0.000003	0.000001	4.5652E-07	0.000000025
995.02	2.54439E-06	0.000003	0.000001	4.55605E-07	0.000000025
1005.01	2.58352E-06	0.000003	0.000001	4.16482E-07	0.000000025
1015.01	2.57069E-06	0.000003	0.000001	4.29314E-07	0.000000025
1025.02	2.58725E-06	0.000003	0.000001	4.12752E-07	0.000000025
1035.01	2.60933E-06	0.000003	0.000001	3.90673E-07	0.000000025
1045.01	2.62677E-06	0.000003	0.000001	3.73233E-07	0.000000025
1055.01	2.61192E-06	0.000003	0.000001	3.88083E-07	0.000000025
1065.01	2.62643E-06	0.000003	0.000001	3.73574E-07	0.000000025
1075.02	2.62802E-06	0.000003	0.000001	3.71976E-07	0.000000025
1085.02	2.64579E-06	0.000003	0.000001	3.54213E-07	0.000000025
1095.03	2.64496E-06	0.000003	0.000001	3.55041E-07	0.000000025
1105.02	2.65241E-06	0.000003	0.000001	3.4759E-07	0.000000025
1115.02	2.67045E-06	0.000003	0.000001	3.29554E-07	0.000000025
1125.02	2.68411E-06	0.000003	0.000001	3.15892E-07	0.000000025
1135.02	2.68537E-06	0.000003	0.000001	3.14634E-07	0.000000025
1145	2.68289E-06	0.000003	0.000001	3.17109E-07	0.000000025
1155.01	2.69191E-06	0.000003	0.000001	3.08089E-07	0.000000025
1165.03	2.7086E-06	0.000003	0.000001	2.914E-07	0.000000025
1175.02	2.70502E-06	0.000003	0.000001	2.94982E-07	0.000000025
1185.01	2.72384E-06	0.000003	0.000001	2.76161E-07	0.000000025
1195.01	2.71792E-06	0.000003	0.000001	2.8208E-07	0.000000025
1205.01	2.72877E-06	0.000003	0.000001	2.71228E-07	0.000000025
1215.02	2.72758E-06	0.000003	0.000001	2.72423E-07	0.000000025
1225.01	2.7453E-06	0.000003	0.000001	2.54698E-07	0.000000025
1235.03	2.73431E-06	0.000003	0.000001	2.65694E-07	0.000000025
1245.02	2.74624E-06	0.000003	0.000001	2.53763E-07	0.000000025
1255.02	2.73578E-06	0.000003	0.000001	2.6422E-07	0.000000025
1265.01	2.76226E-06	0.000003	0.000001	2.37739E-07	0.000000025
1275.02	2.77058E-06	0.000003	0.000001	2.29416E-07	0.000000025
1285.01	2.74368E-06	0.000003	0.000001	2.56321E-07	0.000000025
1295.02	2.76315E-06	0.000003	0.000001	2.36852E-07	0.000000025
