Time (s)	[F-actin] M	[G-act]	[SPIN90]	[G-act] (t)	[Arp2/3]
15.04	2.2814E-09	0.000003	0.0000005	2.99772E-06	0.000000025
25.03	1.64192E-10	0.000003	0.0000005	2.99984E-06	0.000000025
35.01	0	0.000003	0.0000005	0.000003	0.000000025
45.02	4.46083E-09	0.000003	0.0000005	2.99554E-06	0.000000025
55.02	1.40842E-08	0.000003	0.0000005	2.98592E-06	0.000000025
65.02	2.14556E-08	0.000003	0.0000005	2.97854E-06	0.000000025
75.01	3.07471E-08	0.000003	0.0000005	2.96925E-06	0.000000025
85.01	3.86248E-08	0.000003	0.0000005	2.96138E-06	0.000000025
95.02	4.8943E-08	0.000003	0.0000005	2.95106E-06	0.000000025
105.01	6.85492E-08	0.000003	0.0000005	2.93145E-06	0.000000025
115.03	8.73812E-08	0.000003	0.0000005	2.91262E-06	0.000000025
125.01	9.97716E-08	0.000003	0.0000005	2.90023E-06	0.000000025
135.01	1.1706E-07	0.000003	0.0000005	2.88294E-06	0.000000025
145.02	1.46224E-07	0.000003	0.0000005	2.85378E-06	0.000000025
155.02	1.62797E-07	0.000003	0.0000005	2.8372E-06	0.000000025
165.01	1.90563E-07	0.000003	0.0000005	2.80944E-06	0.000000025
175.01	2.23669E-07	0.000003	0.0000005	2.77633E-06	0.000000025
185.01	2.44789E-07	0.000003	0.0000005	2.75521E-06	0.000000025
195.02	2.72024E-07	0.000003	0.0000005	2.72798E-06	0.000000025
205.02	3.12407E-07	0.000003	0.0000005	2.68759E-06	0.000000025
215.02	3.34236E-07	0.000003	0.0000005	2.66576E-06	0.000000025
225.02	3.72861E-07	0.000003	0.0000005	2.62714E-06	0.000000025
235.01	4.00766E-07	0.000003	0.0000005	2.59923E-06	0.000000025
245.01	4.35364E-07	0.000003	0.0000005	2.56464E-06	0.000000025
255.02	4.67463E-07	0.000003	0.0000005	2.53254E-06	0.000000025
265.02	5.1078E-07	0.000003	0.0000005	2.48922E-06	0.000000025
275.01	5.39721E-07	0.000003	0.0000005	2.46028E-06	0.000000025
285.02	5.78334E-07	0.000003	0.0000005	2.42167E-06	0.000000025
295.02	6.16686E-07	0.000003	0.0000005	2.38331E-06	0.000000025
305.01	6.53183E-07	0.000003	0.0000005	2.34682E-06	0.000000025
315.02	6.79969E-07	0.000003	0.0000005	2.32003E-06	0.000000025
325.01	7.30417E-07	0.000003	0.0000005	2.26958E-06	0.000000025
335.01	7.55722E-07	0.000003	0.0000005	2.24428E-06	0.000000025
345.01	7.94644E-07	0.000003	0.0000005	2.20536E-06	0.000000025
355.01	8.35213E-07	0.000003	0.0000005	2.16479E-06	0.000000025
365.02	8.66394E-07	0.000003	0.0000005	2.13361E-06	0.000000025
375.02	8.99288E-07	0.000003	0.0000005	2.10071E-06	0.000000025
385.01	9.47311E-07	0.000003	0.0000005	2.05269E-06	0.000000025
395.02	9.78929E-07	0.000003	0.0000005	2.02107E-06	0.000000025
405.01	1.01629E-06	0.000003	0.0000005	1.98371E-06	0.000000025
415.02	1.04771E-06	0.000003	0.0000005	1.95229E-06	0.000000025
425.02	1.08238E-06	0.000003	0.0000005	1.91762E-06	0.000000025
435.02	1.11021E-06	0.000003	0.0000005	1.88979E-06	0.000000025
445.01	1.15086E-06	0.000003	0.0000005	1.84914E-06	0.000000025
455.02	1.18886E-06	0.000003	0.0000005	1.81114E-06	0.000000025
465.02	1.21073E-06	0.000003	0.0000005	1.78927E-06	0.000000025
475.01	1.24378E-06	0.000003	0.0000005	1.75622E-06	0.000000025
485.01	1.28114E-06	0.000003	0.0000005	1.71886E-06	0.000000025
495.02	1.30944E-06	0.000003	0.0000005	1.69056E-06	0.000000025
505.01	1.33501E-06	0.000003	0.0000005	1.66499E-06	0.000000025
515.01	1.36671E-06	0.000003	0.0000005	1.63329E-06	0.000000025
525.02	1.3925E-06	0.000003	0.0000005	1.6075E-06	0.000000025
535.02	1.4303E-06	0.000003	0.0000005	1.5697E-06	0.000000025
545.01	1.45126E-06	0.000003	0.0000005	1.54874E-06	0.000000025
555.02	1.49147E-06	0.000003	0.0000005	1.50853E-06	0.000000025
565.01	1.5121E-06	0.000003	0.0000005	1.4879E-06	0.000000025
575.01	1.54032E-06	0.000003	0.0000005	1.45968E-06	0.000000025
585.02	1.58447E-06	0.000003	0.0000005	1.41553E-06	0.000000025
595.02	1.60736E-06	0.000003	0.0000005	1.39264E-06	0.000000025
605.02	1.62358E-06	0.000003	0.0000005	1.37642E-06	0.000000025
615.02	1.6567E-06	0.000003	0.0000005	1.3433E-06	0.000000025
625.02	1.6714E-06	0.000003	0.0000005	1.3286E-06	0.000000025
635.01	1.69706E-06	0.000003	0.0000005	1.30294E-06	0.000000025
645	1.71876E-06	0.000003	0.0000005	1.28124E-06	0.000000025
655.02	1.7536E-06	0.000003	0.0000005	1.2464E-06	0.000000025
665.03	1.77722E-06	0.000003	0.0000005	1.22278E-06	0.000000025
675.02	1.79131E-06	0.000003	0.0000005	1.20869E-06	0.000000025
685.01	1.81581E-06	0.000003	0.0000005	1.18419E-06	0.000000025
695.01	1.83261E-06	0.000003	0.0000005	1.16739E-06	0.000000025
705.02	1.86736E-06	0.000003	0.0000005	1.13264E-06	0.000000025
715.02	1.88791E-06	0.000003	0.0000005	1.11209E-06	0.000000025
725.02	1.91116E-06	0.000003	0.0000005	1.08884E-06	0.000000025
735.02	1.9337E-06	0.000003	0.0000005	1.0663E-06	0.000000025
745.01	1.94825E-06	0.000003	0.0000005	1.05175E-06	0.000000025
755.02	1.96818E-06	0.000003	0.0000005	1.03182E-06	0.000000025
765.02	1.98299E-06	0.000003	0.0000005	1.01701E-06	0.000000025
775.02	2.00744E-06	0.000003	0.0000005	9.92563E-07	0.000000025
785.01	2.01445E-06	0.000003	0.0000005	9.85549E-07	0.000000025
795.02	2.04284E-06	0.000003	0.0000005	9.57158E-07	0.000000025
805.02	2.06136E-06	0.000003	0.0000005	9.38638E-07	0.000000025
815.01	2.06804E-06	0.000003	0.0000005	9.31964E-07	0.000000025
825.03	2.09133E-06	0.000003	0.0000005	9.08666E-07	0.000000025
835.02	2.11213E-06	0.000003	0.0000005	8.87874E-07	0.000000025
845.03	2.13579E-06	0.000003	0.0000005	8.64206E-07	0.000000025
855.01	2.15104E-06	0.000003	0.0000005	8.4896E-07	0.000000025
865.01	2.16257E-06	0.000003	0.0000005	8.37432E-07	0.000000025
875.01	2.18601E-06	0.000003	0.0000005	8.13989E-07	0.000000025
885.02	2.19338E-06	0.000003	0.0000005	8.06616E-07	0.000000025
895.01	2.20754E-06	0.000003	0.0000005	7.92465E-07	0.000000025
905.02	2.22734E-06	0.000003	0.0000005	7.7266E-07	0.000000025
915.02	2.23319E-06	0.000003	0.0000005	7.66806E-07	0.000000025
925.02	2.24588E-06	0.000003	0.0000005	7.54116E-07	0.000000025
935.02	2.26433E-06	0.000003	0.0000005	7.35673E-07	0.000000025
945.02	2.27282E-06	0.000003	0.0000005	7.27177E-07	0.000000025
955.01	2.29315E-06	0.000003	0.0000005	7.06855E-07	0.000000025
965.02	2.29287E-06	0.000003	0.0000005	7.07133E-07	0.000000025
975.02	2.3204E-06	0.000003	0.0000005	6.79596E-07	0.000000025
985	2.32875E-06	0.000003	0.0000005	6.71251E-07	0.000000025
995.02	2.35334E-06	0.000003	0.0000005	6.46659E-07	0.000000025
1005.01	2.3613E-06	0.000003	0.0000005	6.387E-07	0.000000025
1015.01	2.37508E-06	0.000003	0.0000005	6.24925E-07	0.000000025
1025.02	2.38073E-06	0.000003	0.0000005	6.19275E-07	0.000000025
1035.01	2.37945E-06	0.000003	0.0000005	6.20554E-07	0.000000025
1045.01	2.40502E-06	0.000003	0.0000005	5.9498E-07	0.000000025
1055.01	2.41148E-06	0.000003	0.0000005	5.88521E-07	0.000000025
1065.01	2.42667E-06	0.000003	0.0000005	5.73327E-07	0.000000025
1075.02	2.4321E-06	0.000003	0.0000005	5.67904E-07	0.000000025
1085.02	2.44553E-06	0.000003	0.0000005	5.54469E-07	0.000000025
1095.03	2.46261E-06	0.000003	0.0000005	5.37386E-07	0.000000025
1105.02	2.45626E-06	0.000003	0.0000005	5.43736E-07	0.000000025
1115.02	2.47968E-06	0.000003	0.0000005	5.20319E-07	0.000000025
1125.02	2.48317E-06	0.000003	0.0000005	5.16835E-07	0.000000025
1135.02	2.48866E-06	0.000003	0.0000005	5.11344E-07	0.000000025
1145	2.50308E-06	0.000003	0.0000005	4.96923E-07	0.000000025
1155.01	2.5181E-06	0.000003	0.0000005	4.81902E-07	0.000000025
1165.03	2.52954E-06	0.000003	0.0000005	4.70458E-07	0.000000025
1175.02	2.5364E-06	0.000003	0.0000005	4.63595E-07	0.000000025
1185.01	2.5321E-06	0.000003	0.0000005	4.67902E-07	0.000000025
1195.01	2.54202E-06	0.000003	0.0000005	4.5798E-07	0.000000025
1205.01	2.56091E-06	0.000003	0.0000005	4.39093E-07	0.000000025
1215.02	2.5591E-06	0.000003	0.0000005	4.40904E-07	0.000000025
1225.01	2.57953E-06	0.000003	0.0000005	4.20471E-07	0.000000025
1235.03	2.58155E-06	0.000003	0.0000005	4.18449E-07	0.000000025
1245.02	2.59201E-06	0.000003	0.0000005	4.07995E-07	0.000000025
1255.02	2.59777E-06	0.000003	0.0000005	4.02225E-07	0.000000025
1265.01	2.59019E-06	0.000003	0.0000005	4.09811E-07	0.000000025
1275.02	2.61814E-06	0.000003	0.0000005	3.8186E-07	0.000000025
1285.01	2.61131E-06	0.000003	0.0000005	3.88693E-07	0.000000025
1295.02	2.63318E-06	0.000003	0.0000005	3.66815E-07	0.000000025
1305.01	2.62483E-06	0.000003	0.0000005	3.75168E-07	0.000000025
1315.02	2.64114E-06	0.000003	0.0000005	3.5886E-07	0.000000025
1325.01	2.6311E-06	0.000003	0.0000005	3.68903E-07	0.000000025
1335.02	2.65021E-06	0.000003	0.0000005	3.49788E-07	0.000000025
1345.01	2.65911E-06	0.000003	0.0000005	3.40885E-07	0.000000025
1355.02	2.64944E-06	0.000003	0.0000005	3.50557E-07	0.000000025
1365.02	2.68612E-06	0.000003	0.0000005	3.13876E-07	0.000000025
1375.01	2.65487E-06	0.000003	0.0000005	3.4513E-07	0.000000025
1385.02	2.67302E-06	0.000003	0.0000005	3.26977E-07	0.000000025
1395.03	2.67362E-06	0.000003	0.0000005	3.26379E-07	0.000000025
1405.01	2.68417E-06	0.000003	0.0000005	3.15829E-07	0.000000025
1415.01	2.69142E-06	0.000003	0.0000005	3.08577E-07	0.000000025
1425.01	2.70877E-06	0.000003	0.0000005	2.9123E-07	0.000000025
1435.01	2.68348E-06	0.000003	0.0000005	3.16522E-07	0.000000025
1445.01	2.69091E-06	0.000003	0.0000005	3.09087E-07	0.000000025
1455.02	2.71864E-06	0.000003	0.0000005	2.81363E-07	0.000000025
1465.01	2.72093E-06	0.000003	0.0000005	2.79073E-07	0.000000025
1475.02	2.72057E-06	0.000003	0.0000005	2.79432E-07	0.000000025
1485.03	2.72034E-06	0.000003	0.0000005	2.79657E-07	0.000000025
1495.02	2.74291E-06	0.000003	0.0000005	2.57088E-07	0.000000025
1505.01	2.73669E-06	0.000003	0.0000005	2.63307E-07	0.000000025
1515.02	2.72835E-06	0.000003	0.0000005	2.71648E-07	0.000000025
1525.02	2.73657E-06	0.000003	0.0000005	2.63428E-07	0.000000025
1535.02	2.75178E-06	0.000003	0.0000005	2.48224E-07	0.000000025
1545.01	2.75463E-06	0.000003	0.0000005	2.45365E-07	0.000000025
1555.01	2.77062E-06	0.000003	0.0000005	2.29378E-07	0.000000025
1565.01	2.76184E-06	0.000003	0.0000005	2.38158E-07	0.000000025
1575.01	2.77716E-06	0.000003	0.0000005	2.22841E-07	0.000000025
1585.02	2.75682E-06	0.000003	0.0000005	2.43177E-07	0.000000025
1595.02	2.76723E-06	0.000003	0.0000005	2.32766E-07	0.000000025
1605.01	2.77741E-06	0.000003	0.0000005	2.22594E-07	0.000000025
1615.02	2.78706E-06	0.000003	0.0000005	2.12943E-07	0.000000025
1625	2.76658E-06	0.000003	0.0000005	2.33419E-07	0.000000025
1635.02	2.78823E-06	0.000003	0.0000005	2.11771E-07	0.000000025
1645.02	2.7672E-06	0.000003	0.0000005	2.32804E-07	0.000000025
1655.01	2.7821E-06	0.000003	0.0000005	2.17904E-07	0.000000025
1665.01	2.79418E-06	0.000003	0.0000005	2.05816E-07	0.000000025
1675.01	2.78975E-06	0.000003	0.0000005	2.10249E-07	0.000000025
1685.01	2.7987E-06	0.000003	0.0000005	2.01299E-07	0.000000025
1695.01	2.79597E-06	0.000003	0.0000005	2.04025E-07	0.000000025
1705.01	2.80365E-06	0.000003	0.0000005	1.9635E-07	0.000000025
1715.03	2.8099E-06	0.000003	0.0000005	1.90096E-07	0.000000025
1725.01	2.82249E-06	0.000003	0.0000005	1.77509E-07	0.000000025
1735.01	2.81651E-06	0.000003	0.0000005	1.83491E-07	0.000000025
1745.02	2.82222E-06	0.000003	0.0000005	1.77777E-07	0.000000025
1755.02	2.83145E-06	0.000003	0.0000005	1.68554E-07	0.000000025
1765.01	2.82934E-06	0.000003	0.0000005	1.70663E-07	0.000000025
1775.01	2.81805E-06	0.000003	0.0000005	1.81949E-07	0.000000025
1785.01	2.81695E-06	0.000003	0.0000005	1.8305E-07	0.000000025
1795.01	2.82626E-06	0.000003	0.0000005	1.73741E-07	0.000000025
1805.02	2.8286E-06	0.000003	0.0000005	1.71404E-07	0.000000025
1815.01	2.82907E-06	0.000003	0.0000005	1.70934E-07	0.000000025
1825.02	2.84896E-06	0.000003	0.0000005	1.51036E-07	0.000000025
1835.02	2.82925E-06	0.000003	0.0000005	1.70746E-07	0.000000025
1845.02	2.84119E-06	0.000003	0.0000005	1.58814E-07	0.000000025
1855.02	2.84156E-06	0.000003	0.0000005	1.58442E-07	0.000000025
1865.02	2.86158E-06	0.000003	0.0000005	1.38423E-07	0.000000025
1875.03	2.84685E-06	0.000003	0.0000005	1.53152E-07	0.000000025
1885.01	2.85123E-06	0.000003	0.0000005	1.48774E-07	0.000000025
1895.03	2.84457E-06	0.000003	0.0000005	1.55426E-07	0.000000025
1905.01	2.85138E-06	0.000003	0.0000005	1.48616E-07	0.000000025
1915.02	2.86535E-06	0.000003	0.0000005	1.34646E-07	0.000000025
1925.01	2.84997E-06	0.000003	0.0000005	1.50027E-07	0.000000025
1935.01	2.874E-06	0.000003	0.0000005	1.25999E-07	0.000000025
1945.01	2.86288E-06	0.000003	0.0000005	1.37125E-07	0.000000025
1955.01	2.84972E-06	0.000003	0.0000005	1.50276E-07	0.000000025
1965.03	2.86872E-06	0.000003	0.0000005	1.31279E-07	0.000000025
1975.02	2.86518E-06	0.000003	0.0000005	1.34823E-07	0.000000025
1985.01	2.86921E-06	0.000003	0.0000005	1.30787E-07	0.000000025
1995.02	2.86248E-06	0.000003	0.0000005	1.3752E-07	0.000000025
2005.02	2.87146E-06	0.000003	0.0000005	1.28538E-07	0.000000025
2015.01	2.86429E-06	0.000003	0.0000005	1.35707E-07	0.000000025
2025.01	2.86093E-06	0.000003	0.0000005	1.39071E-07	0.000000025
2035.01	2.86584E-06	0.000003	0.0000005	1.34155E-07	0.000000025
2045.02	2.87321E-06	0.000003	0.0000005	1.26787E-07	0.000000025
2055.02	2.87059E-06	0.000003	0.0000005	1.29408E-07	0.000000025
2065.02	2.86376E-06	0.000003	0.0000005	1.36236E-07	0.000000025
2075.02	2.87479E-06	0.000003	0.0000005	1.25213E-07	0.000000025
2085.02	2.87541E-06	0.000003	0.0000005	1.24586E-07	0.000000025
2095.02	2.87656E-06	0.000003	0.0000005	1.23436E-07	0.000000025
2105.01	2.88269E-06	0.000003	0.0000005	1.17314E-07	0.000000025
2115.01	2.88888E-06	0.000003	0.0000005	1.1112E-07	0.000000025
2125.02	2.89087E-06	0.000003	0.0000005	1.09131E-07	0.000000025
2135.01	2.88388E-06	0.000003	0.0000005	1.16117E-07	0.000000025
2145.01	2.87595E-06	0.000003	0.0000005	1.2405E-07	0.000000025
2155.01	2.87948E-06	0.000003	0.0000005	1.20519E-07	0.000000025
2165.02	2.88565E-06	0.000003	0.0000005	1.14352E-07	0.000000025
2175.02	0.0000029	0.000003	0.0000005	1E-07	0.000000025
2185.01	2.88372E-06	0.000003	0.0000005	1.16281E-07	0.000000025
2195.01	2.88638E-06	0.000003	0.0000005	1.13618E-07	0.000000025
2205.02	2.87313E-06	0.000003	0.0000005	1.26865E-07	0.000000025
2215.02	2.88962E-06	0.000003	0.0000005	1.10384E-07	0.000000025
