Time (s)	[F-actin] M	[G-act]	[SPIN90]	[G-act] (t)	[Arp2/3]
15.04	1.54114E-09	0.000003	0	2.99846E-06	0.000000025
25.03	9.21838E-10	0.000003	0	2.99908E-06	0.000000025
35.01	0	0.000003	0	0.000003	0.000000025
45.02	2.00562E-09	0.000003	0	2.99799E-06	0.000000025
55.02	4.2853E-09	0.000003	0	2.99571E-06	0.000000025
65.02	3.70515E-09	0.000003	0	2.99629E-06	0.000000025
75.01	1.12169E-08	0.000003	0	2.98878E-06	0.000000025
85.01	1.29769E-08	0.000003	0	2.98702E-06	0.000000025
95.02	1.8903E-08	0.000003	0	2.9811E-06	0.000000025
105.01	2.97515E-08	0.000003	0	2.97025E-06	0.000000025
115.03	3.73149E-08	0.000003	0	2.96269E-06	0.000000025
125.01	4.43159E-08	0.000003	0	2.95568E-06	0.000000025
135.01	5.8357E-08	0.000003	0	2.94164E-06	0.000000025
145.02	6.52156E-08	0.000003	0	2.93478E-06	0.000000025
155.02	6.88834E-08	0.000003	0	2.93112E-06	0.000000025
165.01	8.43464E-08	0.000003	0	2.91565E-06	0.000000025
175.01	9.83448E-08	0.000003	0	2.90166E-06	0.000000025
185.01	1.12865E-07	0.000003	0	2.88714E-06	0.000000025
195.02	1.31549E-07	0.000003	0	2.86845E-06	0.000000025
205.02	1.56107E-07	0.000003	0	2.84389E-06	0.000000025
215.02	1.63694E-07	0.000003	0	2.83631E-06	0.000000025
225.02	1.89852E-07	0.000003	0	2.81015E-06	0.000000025
235.01	2.08211E-07	0.000003	0	2.79179E-06	0.000000025
245.01	2.2248E-07	0.000003	0	2.77752E-06	0.000000025
255.02	2.5024E-07	0.000003	0	2.74976E-06	0.000000025
265.02	2.62048E-07	0.000003	0	2.73795E-06	0.000000025
275.01	2.92265E-07	0.000003	0	2.70773E-06	0.000000025
285.02	3.09821E-07	0.000003	0	2.69018E-06	0.000000025
295.02	3.33389E-07	0.000003	0	2.66661E-06	0.000000025
305.01	3.57317E-07	0.000003	0	2.64268E-06	0.000000025
315.02	3.81728E-07	0.000003	0	2.61827E-06	0.000000025
325.01	4.08147E-07	0.000003	0	2.59185E-06	0.000000025
335.01	4.29205E-07	0.000003	0	2.5708E-06	0.000000025
345.01	4.55345E-07	0.000003	0	2.54465E-06	0.000000025
355.01	4.80525E-07	0.000003	0	2.51947E-06	0.000000025
365.02	5.02112E-07	0.000003	0	2.49789E-06	0.000000025
375.02	5.30678E-07	0.000003	0	2.46932E-06	0.000000025
385.01	5.62542E-07	0.000003	0	2.43746E-06	0.000000025
395.02	5.86643E-07	0.000003	0	2.41336E-06	0.000000025
405.01	6.07427E-07	0.000003	0	2.39257E-06	0.000000025
415.02	6.34522E-07	0.000003	0	2.36548E-06	0.000000025
425.02	6.55591E-07	0.000003	0	2.34441E-06	0.000000025
435.02	6.80354E-07	0.000003	0	2.31965E-06	0.000000025
445.01	7.14168E-07	0.000003	0	2.28583E-06	0.000000025
455.02	7.33483E-07	0.000003	0	2.26652E-06	0.000000025
465.02	7.66427E-07	0.000003	0	2.23357E-06	0.000000025
475.01	7.93592E-07	0.000003	0	2.20641E-06	0.000000025
485.01	8.1619E-07	0.000003	0	2.18381E-06	0.000000025
495.02	8.38866E-07	0.000003	0	2.16113E-06	0.000000025
505.01	8.62545E-07	0.000003	0	2.13745E-06	0.000000025
515.01	8.89663E-07	0.000003	0	2.11034E-06	0.000000025
525.02	9.11643E-07	0.000003	0	2.08836E-06	0.000000025
535.02	9.5018E-07	0.000003	0	2.04982E-06	0.000000025
545.01	9.58251E-07	0.000003	0	2.04175E-06	0.000000025
555.02	9.89291E-07	0.000003	0	2.01071E-06	0.000000025
565.01	1.00126E-06	0.000003	0	1.99874E-06	0.000000025
575.01	1.03314E-06	0.000003	0	1.96686E-06	0.000000025
585.02	1.06608E-06	0.000003	0	1.93392E-06	0.000000025
595.02	1.08649E-06	0.000003	0	1.91351E-06	0.000000025
605.02	1.12029E-06	0.000003	0	1.87971E-06	0.000000025
615.02	1.12979E-06	0.000003	0	1.87021E-06	0.000000025
625.02	1.15743E-06	0.000003	0	1.84257E-06	0.000000025
635.01	1.17536E-06	0.000003	0	1.82464E-06	0.000000025
645	1.19537E-06	0.000003	0	1.80463E-06	0.000000025
655.02	1.22049E-06	0.000003	0	1.77951E-06	0.000000025
665.03	1.25167E-06	0.000003	0	1.74833E-06	0.000000025
675.02	1.27403E-06	0.000003	0	1.72597E-06	0.000000025
685.01	1.27757E-06	0.000003	0	1.72243E-06	0.000000025
695.01	1.30253E-06	0.000003	0	1.69747E-06	0.000000025
705.02	1.33117E-06	0.000003	0	1.66883E-06	0.000000025
715.02	1.3361E-06	0.000003	0	1.6639E-06	0.000000025
725.02	1.37175E-06	0.000003	0	1.62825E-06	0.000000025
735.02	1.39156E-06	0.000003	0	1.60844E-06	0.000000025
745.01	1.41108E-06	0.000003	0	1.58892E-06	0.000000025
755.02	1.42966E-06	0.000003	0	1.57034E-06	0.000000025
765.02	1.45118E-06	0.000003	0	1.54882E-06	0.000000025
775.02	1.46411E-06	0.000003	0	1.53589E-06	0.000000025
785.01	1.48496E-06	0.000003	0	1.51504E-06	0.000000025
795.02	1.5062E-06	0.000003	0	1.4938E-06	0.000000025
805.02	1.52972E-06	0.000003	0	1.47028E-06	0.000000025
815.01	1.53735E-06	0.000003	0	1.46265E-06	0.000000025
825.03	1.55175E-06	0.000003	0	1.44825E-06	0.000000025
835.02	1.56436E-06	0.000003	0	1.43564E-06	0.000000025
845.03	1.60513E-06	0.000003	0	1.39487E-06	0.000000025
855.01	1.62012E-06	0.000003	0	1.37988E-06	0.000000025
865.01	1.62355E-06	0.000003	0	1.37645E-06	0.000000025
875.01	1.64133E-06	0.000003	0	1.35867E-06	0.000000025
885.02	1.66353E-06	0.000003	0	1.33647E-06	0.000000025
895.01	1.67585E-06	0.000003	0	1.32415E-06	0.000000025
905.02	1.69957E-06	0.000003	0	1.30043E-06	0.000000025
915.02	1.7155E-06	0.000003	0	1.2845E-06	0.000000025
925.02	1.73009E-06	0.000003	0	1.26991E-06	0.000000025
935.02	1.74737E-06	0.000003	0	1.25263E-06	0.000000025
945.02	1.76506E-06	0.000003	0	1.23494E-06	0.000000025
955.01	1.76911E-06	0.000003	0	1.23089E-06	0.000000025
965.02	1.79095E-06	0.000003	0	1.20905E-06	0.000000025
975.02	1.79687E-06	0.000003	0	1.20313E-06	0.000000025
985	1.82554E-06	0.000003	0	1.17446E-06	0.000000025
995.02	1.84026E-06	0.000003	0	1.15974E-06	0.000000025
1005.01	1.85658E-06	0.000003	0	1.14342E-06	0.000000025
1015.01	1.8639E-06	0.000003	0	1.1361E-06	0.000000025
1025.02	1.87987E-06	0.000003	0	1.12013E-06	0.000000025
1035.01	1.89347E-06	0.000003	0	1.10653E-06	0.000000025
1045.01	1.90141E-06	0.000003	0	1.09859E-06	0.000000025
1055.01	1.91364E-06	0.000003	0	1.08636E-06	0.000000025
1065.01	1.92397E-06	0.000003	0	1.07603E-06	0.000000025
1075.02	1.93747E-06	0.000003	0	1.06253E-06	0.000000025
1085.02	1.96176E-06	0.000003	0	1.03824E-06	0.000000025
1095.03	1.97092E-06	0.000003	0	1.02908E-06	0.000000025
1105.02	1.98174E-06	0.000003	0	1.01826E-06	0.000000025
1115.02	1.98562E-06	0.000003	0	1.01438E-06	0.000000025
1125.02	2.01644E-06	0.000003	0	9.83564E-07	0.000000025
1135.02	2.01304E-06	0.000003	0	9.86963E-07	0.000000025
1145	2.02908E-06	0.000003	0	9.70918E-07	0.000000025
1155.01	2.03951E-06	0.000003	0	9.60493E-07	0.000000025
1165.03	2.06053E-06	0.000003	0	9.39471E-07	0.000000025
1175.02	2.07372E-06	0.000003	0	9.26284E-07	0.000000025
1185.01	2.05315E-06	0.000003	0	9.46845E-07	0.000000025
1195.01	2.09292E-06	0.000003	0	9.07084E-07	0.000000025
1205.01	2.10817E-06	0.000003	0	8.91827E-07	0.000000025
1215.02	2.11331E-06	0.000003	0	8.86686E-07	0.000000025
1225.01	2.12116E-06	0.000003	0	8.78839E-07	0.000000025
1235.03	2.1324E-06	0.000003	0	8.67596E-07	0.000000025
1245.02	2.15546E-06	0.000003	0	8.44545E-07	0.000000025
1255.02	2.15395E-06	0.000003	0	8.46054E-07	0.000000025
1265.01	2.15838E-06	0.000003	0	8.41615E-07	0.000000025
1275.02	2.1695E-06	0.000003	0	8.30498E-07	0.000000025
1285.01	2.18064E-06	0.000003	0	8.19363E-07	0.000000025
1295.02	2.19451E-06	0.000003	0	8.05495E-07	0.000000025
1305.01	2.18782E-06	0.000003	0	8.12182E-07	0.000000025
1315.02	2.2056E-06	0.000003	0	7.94395E-07	0.000000025
1325.01	2.21585E-06	0.000003	0	7.84152E-07	0.000000025
1335.02	2.23865E-06	0.000003	0	7.61351E-07	0.000000025
1345.01	2.24953E-06	0.000003	0	7.50473E-07	0.000000025
1355.02	2.24196E-06	0.000003	0	7.58045E-07	0.000000025
1365.02	2.25645E-06	0.000003	0	7.43552E-07	0.000000025
1375.01	2.25699E-06	0.000003	0	7.43005E-07	0.000000025
