Time (s)	5nM	[G-act]	[A208W]	[G-act] (t)
15.04	3.427E-09	0.000002	0.000000005	1.99657E-06
25.01	2.42372E-09	0.000002	0.000000005	1.99758E-06
35.02	5.80048E-10	0.000002	0.000000005	1.99942E-06
45.01	2.64142E-09	0.000002	0.000000005	1.99736E-06
55.02	1.65641E-09	0.000002	0.000000005	1.99834E-06
65.02	1.33518E-09	0.000002	0.000000005	1.99866E-06
75.02	0	0.000002	0.000000005	0.000002
85.02	1.67772E-09	0.000002	0.000000005	1.99832E-06
95.01	8.49519E-10	0.000002	0.000000005	1.99915E-06
105.01	3.4879E-09	0.000002	0.000000005	1.99651E-06
115.01	1.81931E-09	0.000002	0.000000005	1.99818E-06
125.02	3.46506E-09	0.000002	0.000000005	1.99653E-06
135.03	4.52468E-09	0.000002	0.000000005	1.99548E-06
145.02	8.05977E-09	0.000002	0.000000005	1.99194E-06
155.01	1.00816E-08	0.000002	0.000000005	1.98992E-06
165.02	9.74815E-09	0.000002	0.000000005	1.99025E-06
175.01	1.64773E-08	0.000002	0.000000005	1.98352E-06
185.01	1.54268E-08	0.000002	0.000000005	1.98457E-06
195.02	2.04798E-08	0.000002	0.000000005	1.97952E-06
205	2.17343E-08	0.000002	0.000000005	1.97827E-06
215.02	2.30344E-08	0.000002	0.000000005	1.97697E-06
225.01	2.65025E-08	0.000002	0.000000005	1.9735E-06
235.01	2.94896E-08	0.000002	0.000000005	1.97051E-06
245.01	2.98154E-08	0.000002	0.000000005	1.97018E-06
255.01	3.89104E-08	0.000002	0.000000005	1.96109E-06
265.01	4.40577E-08	0.000002	0.000000005	1.95594E-06
275.01	4.22415E-08	0.000002	0.000000005	1.95776E-06
285.02	4.88047E-08	0.000002	0.000000005	1.9512E-06
295.01	5.46447E-08	0.000002	0.000000005	1.94536E-06
305.02	5.72329E-08	0.000002	0.000000005	1.94277E-06
315.02	6.23239E-08	0.000002	0.000000005	1.93768E-06
325.02	6.76646E-08	0.000002	0.000000005	1.93234E-06
335.02	6.94656E-08	0.000002	0.000000005	1.93053E-06
345.01	7.57183E-08	0.000002	0.000000005	1.92428E-06
355.01	8.02445E-08	0.000002	0.000000005	1.91976E-06
365.02	8.70041E-08	0.000002	0.000000005	1.913E-06
375.02	8.88097E-08	0.000002	0.000000005	1.91119E-06
385.02	9.8704E-08	0.000002	0.000000005	1.9013E-06
395.02	1.02961E-07	0.000002	0.000000005	1.89704E-06
405.01	1.02527E-07	0.000002	0.000000005	1.89747E-06
415.02	1.1475E-07	0.000002	0.000000005	1.88525E-06
425.02	1.19727E-07	0.000002	0.000000005	1.88027E-06
435.02	1.24995E-07	0.000002	0.000000005	1.87501E-06
445.02	1.32599E-07	0.000002	0.000000005	1.8674E-06
455.02	1.35541E-07	0.000002	0.000000005	1.86446E-06
465.02	1.48664E-07	0.000002	0.000000005	1.85134E-06
475.01	1.50051E-07	0.000002	0.000000005	1.84995E-06
485.01	1.57878E-07	0.000002	0.000000005	1.84212E-06
495.02	1.68512E-07	0.000002	0.000000005	1.83149E-06
505.01	1.72232E-07	0.000002	0.000000005	1.82777E-06
515.02	1.77979E-07	0.000002	0.000000005	1.82202E-06
525.01	1.86428E-07	0.000002	0.000000005	1.81357E-06
535.02	1.92484E-07	0.000002	0.000000005	1.80752E-06
545.01	2.04591E-07	0.000002	0.000000005	1.79541E-06
555.02	2.09426E-07	0.000002	0.000000005	1.79057E-06
565.01	2.18191E-07	0.000002	0.000000005	1.78181E-06
575.02	2.24988E-07	0.000002	0.000000005	1.77501E-06
585.01	2.33092E-07	0.000002	0.000000005	1.76691E-06
595.02	2.42778E-07	0.000002	0.000000005	1.75722E-06
605.02	2.49582E-07	0.000002	0.000000005	1.75042E-06
615.03	2.55215E-07	0.000002	0.000000005	1.74479E-06
625.02	2.6266E-07	0.000002	0.000000005	1.73734E-06
635.01	2.75288E-07	0.000002	0.000000005	1.72471E-06
645.01	2.82072E-07	0.000002	0.000000005	1.71793E-06
655.02	2.91712E-07	0.000002	0.000000005	1.70829E-06
665.02	2.94558E-07	0.000002	0.000000005	1.70544E-06
675.01	3.02637E-07	0.000002	0.000000005	1.69736E-06
685.02	3.13372E-07	0.000002	0.000000005	1.68663E-06
695.01	3.20847E-07	0.000002	0.000000005	1.67915E-06
705.02	3.35166E-07	0.000002	0.000000005	1.66483E-06
715.01	3.35371E-07	0.000002	0.000000005	1.66463E-06
725.02	3.49807E-07	0.000002	0.000000005	1.65019E-06
735.02	3.53468E-07	0.000002	0.000000005	1.64653E-06
745.01	3.61836E-07	0.000002	0.000000005	1.63816E-06
755.02	3.75828E-07	0.000002	0.000000005	1.62417E-06
765.02	3.79651E-07	0.000002	0.000000005	1.62035E-06
775.02	3.9791E-07	0.000002	0.000000005	1.60209E-06
