Time (s)	10nM	[G-act]	[A208W]	[G-act] (t)
15.04	2.94197E-09	0.000002	0.00000001	1.99706E-06
25.01	5.75339E-09	0.000002	0.00000001	1.99425E-06
35.02	4.17595E-09	0.000002	0.00000001	1.99582E-06
45.01	1.12364E-09	0.000002	0.00000001	1.99888E-06
55.02	2.93575E-09	0.000002	0.00000001	1.99706E-06
65.02	2.91555E-09	0.000002	0.00000001	1.99708E-06
75.02	6.49627E-10	0.000002	0.00000001	1.99935E-06
85.02	0	0.000002	0.00000001	0.000002
95.01	9.7444E-10	0.000002	0.00000001	1.99903E-06
105.01	2.31099E-09	0.000002	0.00000001	1.99769E-06
115.01	3.75634E-09	0.000002	0.00000001	1.99624E-06
125.02	4.77429E-09	0.000002	0.00000001	1.99523E-06
135.03	7.27178E-09	0.000002	0.00000001	1.99273E-06
145.02	8.60678E-09	0.000002	0.00000001	1.99139E-06
155.01	8.50731E-09	0.000002	0.00000001	1.99149E-06
165.02	8.53684E-09	0.000002	0.00000001	1.99146E-06
175.01	1.27019E-08	0.000002	0.00000001	1.9873E-06
185.01	1.50036E-08	0.000002	0.00000001	1.985E-06
195.02	2.03995E-08	0.000002	0.00000001	1.9796E-06
205	2.54644E-08	0.000002	0.00000001	1.97454E-06
215.02	2.95036E-08	0.000002	0.00000001	1.9705E-06
225.01	3.12582E-08	0.000002	0.00000001	1.96874E-06
235.01	3.43183E-08	0.000002	0.00000001	1.96568E-06
245.01	3.9576E-08	0.000002	0.00000001	1.96042E-06
255.01	4.05115E-08	0.000002	0.00000001	1.95949E-06
265.01	4.82449E-08	0.000002	0.00000001	1.95176E-06
275.01	4.63489E-08	0.000002	0.00000001	1.95365E-06
285.02	5.71454E-08	0.000002	0.00000001	1.94285E-06
295.01	6.13043E-08	0.000002	0.00000001	1.9387E-06
305.02	6.5303E-08	0.000002	0.00000001	1.9347E-06
315.02	7.08622E-08	0.000002	0.00000001	1.92914E-06
325.02	7.74486E-08	0.000002	0.00000001	1.92255E-06
335.02	8.51306E-08	0.000002	0.00000001	1.91487E-06
345.01	8.81799E-08	0.000002	0.00000001	1.91182E-06
355.01	9.31453E-08	0.000002	0.00000001	1.90685E-06
365.02	1.01127E-07	0.000002	0.00000001	1.89887E-06
375.02	1.0779E-07	0.000002	0.00000001	1.89221E-06
385.02	1.14637E-07	0.000002	0.00000001	1.88536E-06
395.02	1.23557E-07	0.000002	0.00000001	1.87644E-06
405.01	1.32869E-07	0.000002	0.00000001	1.86713E-06
415.02	1.3481E-07	0.000002	0.00000001	1.86519E-06
425.02	1.42495E-07	0.000002	0.00000001	1.8575E-06
435.02	1.49127E-07	0.000002	0.00000001	1.85087E-06
445.02	1.58848E-07	0.000002	0.00000001	1.84115E-06
455.02	1.6376E-07	0.000002	0.00000001	1.83624E-06
