Time (s)	100nM	[G-act]	[A208W]	[G-act] (t)															
1005.01	1.81377E-06	0.000002	0.0000001	1.86231E-07															
1015.01	1.83054E-06	0.000002	0.0000001	1.69462E-07															
1025.02	1.83664E-06	0.000002	0.0000001	1.6336E-07															
1035.01	1.83905E-06	0.000002	0.0000001	1.6095E-07															
1045.02	1.8493E-06	0.000002	0.0000001	1.50696E-07															
1055.01	1.85712E-06	0.000002	0.0000001	1.42876E-07															
1065.02	1.85681E-06	0.000002	0.0000001	1.43192E-07															
1075.02	1.87014E-06	0.000002	0.0000001	1.29857E-07															
1085.02	1.86578E-06	0.000002	0.0000001	1.34221E-07															
1095.01	1.86714E-06	0.000002	0.0000001	1.32856E-07															
1105.01	1.87882E-06	0.000002	0.0000001	1.21176E-07															
1115.03	1.88308E-06	0.000002	0.0000001	1.16921E-07															
1125.01	1.88817E-06	0.000002	0.0000001	1.11825E-07															
1135.02	1.89865E-06	0.000002	0.0000001	1.01347E-07															
1145.01	1.88288E-06	0.000002	0.0000001	1.17116E-07															
1155.02	1.89052E-06	0.000002	0.0000001	1.09477E-07															
1165.02	1.88071E-06	0.000002	0.0000001	1.19285E-07															
1175.01	1.89806E-06	0.000002	0.0000001	1.01943E-07															
1185.01	1.89682E-06	0.000002	0.0000001	1.03176E-07															
1195.02	1.89322E-06	0.000002	0.0000001	1.06783E-07															
1205.02	1.89631E-06	0.000002	0.0000001	1.03689E-07															
1215.02	1.89452E-06	0.000002	0.0000001	1.05476E-07															
1225.02	1.88143E-06	0.000002	0.0000001	1.18572E-07															
1235.02	1.88363E-06	0.000002	0.0000001	1.16375E-07															
1245.01	1.89216E-06	0.000002	0.0000001	1.07841E-07															
1255.02	1.88646E-06	0.000002	0.0000001	1.13536E-07															
1265.02	1.89644E-06	0.000002	0.0000001	1.03563E-07															
1275.01	1.89232E-06	0.000002	0.0000001	1.07685E-07															
1285.02	1.89688E-06	0.000002	0.0000001	1.03118E-07															
1295.01	0.0000019	0.000002	0.0000001	1E-07															
1305.02	1.89582E-06	0.000002	0.0000001	1.04184E-07															
1315.01	1.89799E-06	0.000002	0.0000001	1.02013E-07															
1325.02	1.89548E-06	0.000002	0.0000001	1.04516E-07															
1335.01	1.88812E-06	0.000002	0.0000001	1.11882E-07															
1345.01	1.89015E-06	0.000002	0.0000001	1.0985E-07															
1355.02	1.89093E-06	0.000002	0.0000001	1.09067E-07															
1365.02	1.88925E-06	0.000002	0.0000001	1.10752E-07															
1375.01	1.89561E-06	0.000002	0.0000001	1.04394E-07															
1385.01	1.88295E-06	0.000002	0.0000001	1.17049E-07															
1395.02	1.88084E-06	0.000002	0.0000001	1.19165E-07															
1405.01	1.88649E-06	0.000002	0.0000001	1.13513E-07															
1415	1.89517E-06	0.000002	0.0000001	1.04829E-07															
1425.02	1.87915E-06	0.000002	0.0000001	1.20847E-07															
1435.01	1.87334E-06	0.000002	0.0000001	1.26657E-07															
1445.01	1.88514E-06	0.000002	0.0000001	1.1486E-07															
1455.01	1.87381E-06	0.000002	0.0000001	1.2619E-07															
1465.02	1.86837E-06	0.000002	0.0000001	1.31628E-07															
1475.01	1.89031E-06	0.000002	0.0000001	1.0969E-07															
1485.01	1.88202E-06	0.000002	0.0000001	1.17983E-07															
1495.01	1.87178E-06	0.000002	0.0000001	1.28224E-07															
1505.01	1.8819E-06	0.000002	0.0000001	1.18097E-07															
1515.01	1.87746E-06	0.000002	0.0000001	1.22535E-07															
1525.02	1.87525E-06	0.000002	0.0000001	1.24752E-07															
1535.02	1.87051E-06	0.000002	0.0000001	1.29486E-07															
1545.02	1.88069E-06	0.000002	0.0000001	1.1931E-07															
1555.02	1.87471E-06	0.000002	0.0000001	1.25293E-07															
1565.01	1.86847E-06	0.000002	0.0000001	1.31525E-07															
1575	1.86912E-06	0.000002	0.0000001	1.30884E-07															
1585.02	1.86058E-06	0.000002	0.0000001	1.3942E-07															
