Time (s)	2.5nM	[G-act]	[A208W]	[G-act] (t)
1005.01	6.58534E-07	0.000002	2.5E-09	1.34147E-06
1015.01	6.63225E-07	0.000002	2.5E-09	1.33678E-06
1025.01	6.83064E-07	0.000002	2.5E-09	1.31694E-06
1035.01	6.81709E-07	0.000002	2.5E-09	1.31829E-06
1045.01	6.94597E-07	0.000002	2.5E-09	1.3054E-06
1055.01	7.03835E-07	0.000002	2.5E-09	1.29617E-06
1065.01	7.20114E-07	0.000002	2.5E-09	1.27989E-06
1075.03	7.24014E-07	0.000002	2.5E-09	1.27599E-06
1085.01	7.32313E-07	0.000002	2.5E-09	1.26769E-06
1095.01	7.39288E-07	0.000002	2.5E-09	1.26071E-06
1105.02	7.55091E-07	0.000002	2.5E-09	1.24491E-06
1115.01	7.56598E-07	0.000002	2.5E-09	1.2434E-06
1125.02	7.67787E-07	0.000002	2.5E-09	1.23221E-06
1135.01	7.74634E-07	0.000002	2.5E-09	1.22537E-06
1145.01	7.83517E-07	0.000002	2.5E-09	1.21648E-06
1155.02	7.9329E-07	0.000002	2.5E-09	1.20671E-06
1165.03	8.06933E-07	0.000002	2.5E-09	1.19307E-06
1175.02	8.03158E-07	0.000002	2.5E-09	1.19684E-06
1185.02	8.24991E-07	0.000002	2.5E-09	1.17501E-06
1195.02	8.28911E-07	0.000002	2.5E-09	1.17109E-06
1205.12	8.45142E-07	0.000002	2.5E-09	1.15486E-06
1215.02	8.40867E-07	0.000002	2.5E-09	1.15913E-06
1225.01	8.5879E-07	0.000002	2.5E-09	1.14121E-06
1235.02	8.65425E-07	0.000002	2.5E-09	1.13458E-06
1245.02	8.65963E-07	0.000002	2.5E-09	1.13404E-06
1255.03	8.79393E-07	0.000002	2.5E-09	1.12061E-06
1265.02	8.90604E-07	0.000002	2.5E-09	1.1094E-06
1275.01	8.96051E-07	0.000002	2.5E-09	1.10395E-06
1285.02	9.00844E-07	0.000002	2.5E-09	1.09916E-06
1295.01	9.20467E-07	0.000002	2.5E-09	1.07953E-06
1305.02	9.1691E-07	0.000002	2.5E-09	1.08309E-06
1315.02	9.34002E-07	0.000002	2.5E-09	1.066E-06
1325.02	9.3161E-07	0.000002	2.5E-09	1.06839E-06
1335.01	9.51275E-07	0.000002	2.5E-09	1.04873E-06
1345.02	9.56752E-07	0.000002	2.5E-09	1.04325E-06
1355.02	9.63827E-07	0.000002	2.5E-09	1.03617E-06
1365.02	9.72869E-07	0.000002	2.5E-09	1.02713E-06
1375.01	9.82426E-07	0.000002	2.5E-09	1.01757E-06
1385.01	9.79374E-07	0.000002	2.5E-09	1.02063E-06
1395.03	9.92001E-07	0.000002	2.5E-09	1.008E-06
1405.02	1.00345E-06	0.000002	2.5E-09	9.96547E-07
1415.02	1.01245E-06	0.000002	2.5E-09	9.87551E-07
1425.02	1.02315E-06	0.000002	2.5E-09	9.76854E-07
1435.01	1.02005E-06	0.000002	2.5E-09	9.79949E-07
1445.01	1.03274E-06	0.000002	2.5E-09	9.67264E-07
1455.01	1.03426E-06	0.000002	2.5E-09	9.6574E-07
1465.02	1.05172E-06	0.000002	2.5E-09	9.48285E-07
1475.02	1.05323E-06	0.000002	2.5E-09	9.46772E-07
1485.01	1.05636E-06	0.000002	2.5E-09	9.43636E-07
1495.01	1.06515E-06	0.000002	2.5E-09	9.34855E-07
1505.01	1.07438E-06	0.000002	2.5E-09	9.25621E-07
1515.01	1.08816E-06	0.000002	2.5E-09	9.11843E-07
1525.02	1.09906E-06	0.000002	2.5E-09	9.00936E-07
1535.01	1.10005E-06	0.000002	2.5E-09	8.99949E-07
1545.01	1.1048E-06	0.000002	2.5E-09	8.95201E-07
1555.01	1.10933E-06	0.000002	2.5E-09	8.90672E-07
1565.01	1.11896E-06	0.000002	2.5E-09	8.81038E-07
1575.02	1.12273E-06	0.000002	2.5E-09	8.77274E-07
1585.01	1.14052E-06	0.000002	2.5E-09	8.59478E-07
1595.02	1.15112E-06	0.000002	2.5E-09	8.48875E-07
1605.01	1.14624E-06	0.000002	2.5E-09	8.53764E-07
1615.01	1.15182E-06	0.000002	2.5E-09	8.48183E-07
1625.01	1.17205E-06	0.000002	2.5E-09	8.27951E-07
1635.02	1.17574E-06	0.000002	2.5E-09	8.24263E-07
1645.02	1.17153E-06	0.000002	2.5E-09	8.28467E-07
1655.02	1.18939E-06	0.000002	2.5E-09	8.10613E-07
1665.02	1.19067E-06	0.000002	2.5E-09	8.09328E-07
1675.01	1.19304E-06	0.000002	2.5E-09	8.06964E-07
1685.01	1.20649E-06	0.000002	2.5E-09	7.93512E-07
1695.01	1.21718E-06	0.000002	2.5E-09	7.82815E-07
1705.01	1.21057E-06	0.000002	2.5E-09	7.89428E-07
1715.03	1.22785E-06	0.000002	2.5E-09	7.72148E-07
1725.02	1.22728E-06	0.000002	2.5E-09	7.72716E-07
1735.03	1.2344E-06	0.000002	2.5E-09	7.65596E-07
1745.02	1.23988E-06	0.000002	2.5E-09	7.60116E-07
1755.02	1.24797E-06	0.000002	2.5E-09	7.52029E-07
1765.02	1.25043E-06	0.000002	2.5E-09	7.49574E-07
1775.02	1.26767E-06	0.000002	2.5E-09	7.32325E-07
1785.01	1.26216E-06	0.000002	2.5E-09	7.37845E-07
1795.01	1.27451E-06	0.000002	2.5E-09	7.25488E-07
1805.02	1.28349E-06	0.000002	2.5E-09	7.16513E-07
1815.01	1.28447E-06	0.000002	2.5E-09	7.15527E-07
1825.01	1.29114E-06	0.000002	2.5E-09	7.08857E-07
1835.01	1.29766E-06	0.000002	2.5E-09	7.02336E-07
1845.01	1.3022E-06	0.000002	2.5E-09	6.97798E-07
1855.01	1.30658E-06	0.000002	2.5E-09	6.93422E-07
1865.02	1.30136E-06	0.000002	2.5E-09	6.98637E-07
1875.02	1.32343E-06	0.000002	2.5E-09	6.76568E-07
1885.02	1.3208E-06	0.000002	2.5E-09	6.792E-07
1895.02	1.32378E-06	0.000002	2.5E-09	6.76216E-07
1905.01	1.33811E-06	0.000002	2.5E-09	6.61888E-07
1915.02	1.35085E-06	0.000002	2.5E-09	6.49155E-07
1925	1.34803E-06	0.000002	2.5E-09	6.51975E-07
1935.01	1.353E-06	0.000002	2.5E-09	6.46996E-07
1945.01	1.364E-06	0.000002	2.5E-09	6.36004E-07
1955.02	1.35456E-06	0.000002	2.5E-09	6.45439E-07
