Time (s)	40nM	[G-act]	[A208W]	[G-act] (t)
15.04	3.42033E-09	0.000002	0.00000004	1.99658E-06
25.01	3.50249E-10	0.000002	0.00000004	1.99965E-06
35.02	0	0.000002	0.00000004	0.000002
45.01	3.21998E-09	0.000002	0.00000004	1.99678E-06
55.02	6.29295E-09	0.000002	0.00000004	1.99371E-06
65.02	6.96318E-09	0.000002	0.00000004	1.99304E-06
75.02	7.21253E-09	0.000002	0.00000004	1.99279E-06
85.02	7.16641E-09	0.000002	0.00000004	1.99283E-06
95.01	1.19315E-08	0.000002	0.00000004	1.98807E-06
105.01	1.10393E-08	0.000002	0.00000004	1.98896E-06
115.01	1.59889E-08	0.000002	0.00000004	1.98401E-06
125.02	1.95894E-08	0.000002	0.00000004	1.98041E-06
135.03	2.53505E-08	0.000002	0.00000004	1.97465E-06
145.02	2.42781E-08	0.000002	0.00000004	1.97572E-06
155.01	3.26178E-08	0.000002	0.00000004	1.96738E-06
165.02	3.37954E-08	0.000002	0.00000004	1.9662E-06
175.01	3.83011E-08	0.000002	0.00000004	1.9617E-06
185.01	4.59763E-08	0.000002	0.00000004	1.95402E-06
195.02	4.95206E-08	0.000002	0.00000004	1.95048E-06
205	5.71453E-08	0.000002	0.00000004	1.94285E-06
215.02	6.15515E-08	0.000002	0.00000004	1.93845E-06
225.01	6.54201E-08	0.000002	0.00000004	1.93458E-06
235.01	7.56797E-08	0.000002	0.00000004	1.92432E-06
245.01	7.73343E-08	0.000002	0.00000004	1.92267E-06
255.01	8.82094E-08	0.000002	0.00000004	1.91179E-06
265.01	9.34948E-08	0.000002	0.00000004	1.90651E-06
275.01	9.80711E-08	0.000002	0.00000004	1.90193E-06
285.02	1.06924E-07	0.000002	0.00000004	1.89308E-06
295.01	1.15302E-07	0.000002	0.00000004	1.8847E-06
305.02	1.26028E-07	0.000002	0.00000004	1.87397E-06
315.02	1.32114E-07	0.000002	0.00000004	1.86789E-06
325.02	1.40657E-07	0.000002	0.00000004	1.85934E-06
335.02	1.52903E-07	0.000002	0.00000004	1.8471E-06
345.01	1.57296E-07	0.000002	0.00000004	1.8427E-06
355.01	1.70005E-07	0.000002	0.00000004	1.83E-06
365.02	1.78186E-07	0.000002	0.00000004	1.82181E-06
375.02	1.9431E-07	0.000002	0.00000004	1.80569E-06
385.02	1.97663E-07	0.000002	0.00000004	1.80234E-06
395.02	2.13669E-07	0.000002	0.00000004	1.78633E-06
405.01	2.24809E-07	0.000002	0.00000004	1.77519E-06
415.02	2.32725E-07	0.000002	0.00000004	1.76727E-06
425.02	2.43292E-07	0.000002	0.00000004	1.75671E-06
435.02	2.5567E-07	0.000002	0.00000004	1.74433E-06
445.02	2.70066E-07	0.000002	0.00000004	1.72993E-06
455.02	2.80934E-07	0.000002	0.00000004	1.71907E-06
465.02	2.9138E-07	0.000002	0.00000004	1.70862E-06
475.01	3.04203E-07	0.000002	0.00000004	1.6958E-06
485.01	3.25733E-07	0.000002	0.00000004	1.67427E-06
495.02	3.38993E-07	0.000002	0.00000004	1.66101E-06
505.01	3.5012E-07	0.000002	0.00000004	1.64988E-06
515.02	3.62294E-07	0.000002	0.00000004	1.63771E-06
525.01	3.74386E-07	0.000002	0.00000004	1.62561E-06
535.02	3.92538E-07	0.000002	0.00000004	1.60746E-06
545.01	4.06724E-07	0.000002	0.00000004	1.59328E-06
555.02	4.27159E-07	0.000002	0.00000004	1.57284E-06
565.01	4.3556E-07	0.000002	0.00000004	1.56444E-06
575.02	4.61704E-07	0.000002	0.00000004	1.5383E-06
585.01	4.76206E-07	0.000002	0.00000004	1.52379E-06
595.02	4.8109E-07	0.000002	0.00000004	1.51891E-06
605.02	4.996E-07	0.000002	0.00000004	1.5004E-06
615.03	5.22303E-07	0.000002	0.00000004	1.4777E-06
625.02	5.398E-07	0.000002	0.00000004	1.4602E-06
635.01	5.54723E-07	0.000002	0.00000004	1.44528E-06
645.01	5.75895E-07	0.000002	0.00000004	1.4241E-06
655.02	5.79745E-07	0.000002	0.00000004	1.42025E-06
665.02	6.09068E-07	0.000002	0.00000004	1.39093E-06
675.01	6.31669E-07	0.000002	0.00000004	1.36833E-06
685.02	6.55203E-07	0.000002	0.00000004	1.3448E-06
695.01	6.65892E-07	0.000002	0.00000004	1.33411E-06
705.02	6.90288E-07	0.000002	0.00000004	1.30971E-06
715.01	7.05584E-07	0.000002	0.00000004	1.29442E-06
725.02	7.1564E-07	0.000002	0.00000004	1.28436E-06
735.02	7.42977E-07	0.000002	0.00000004	1.25702E-06
745.01	7.62489E-07	0.000002	0.00000004	1.23751E-06
755.02	7.81634E-07	0.000002	0.00000004	1.21837E-06
765.02	8.03103E-07	0.000002	0.00000004	1.1969E-06
775.02	8.23668E-07	0.000002	0.00000004	1.17633E-06
785.01	8.43233E-07	0.000002	0.00000004	1.15677E-06
795.02	8.57308E-07	0.000002	0.00000004	1.14269E-06
805.02	8.89355E-07	0.000002	0.00000004	1.11064E-06
815.01	9.0489E-07	0.000002	0.00000004	1.09511E-06
825.02	9.24546E-07	0.000002	0.00000004	1.07545E-06
835.01	9.37475E-07	0.000002	0.00000004	1.06253E-06
845.02	9.58668E-07	0.000002	0.00000004	1.04133E-06
855.01	9.79448E-07	0.000002	0.00000004	1.02055E-06
865.01	9.98715E-07	0.000002	0.00000004	1.00129E-06
875.01	1.02979E-06	0.000002	0.00000004	9.70214E-07
885.01	1.04218E-06	0.000002	0.00000004	9.5782E-07
895.01	1.06796E-06	0.000002	0.00000004	9.32041E-07
905.02	1.09008E-06	0.000002	0.00000004	9.09918E-07
