Time (s)	[F-actin] M	[G-act]	[G-act] (t)
15.04	0	0.000003	0.000003
25.01	7.03421E-09	0.000003	2.99297E-06
35.03	1.31637E-08	0.000003	2.98684E-06
45.03	1.91593E-08	0.000003	2.98084E-06
55.02	1.99598E-08	0.000003	2.98004E-06
65.01	2.61968E-08	0.000003	2.9738E-06
75.01	3.63139E-08	0.000003	2.96369E-06
85.02	4.80652E-08	0.000003	2.95193E-06
95.01	5.78383E-08	0.000003	2.94216E-06
105.02	6.67812E-08	0.000003	2.93322E-06
115.02	8.53666E-08	0.000003	2.91463E-06
125.02	9.18153E-08	0.000003	2.90818E-06
135.01	1.0678E-07	0.000003	2.89322E-06
145.02	1.19975E-07	0.000003	2.88002E-06
155.02	1.37133E-07	0.000003	2.86287E-06
165.01	1.54037E-07	0.000003	2.84596E-06
175.03	1.72453E-07	0.000003	2.82755E-06
185.01	1.87835E-07	0.000003	2.81217E-06
195.02	2.0969E-07	0.000003	2.79031E-06
205.02	2.2897E-07	0.000003	2.77103E-06
215.02	2.47885E-07	0.000003	2.75212E-06
225.02	2.65276E-07	0.000003	2.73472E-06
235.01	2.91628E-07	0.000003	2.70837E-06
245.03	3.11692E-07	0.000003	2.68831E-06
255.01	3.28542E-07	0.000003	2.67146E-06
265.01	3.54709E-07	0.000003	2.64529E-06
275.01	3.7591E-07	0.000003	2.62409E-06
285.02	4.00897E-07	0.000003	2.5991E-06
295.01	4.19364E-07	0.000003	2.58064E-06
305.02	4.38677E-07	0.000003	2.56132E-06
315.01	4.76246E-07	0.000003	2.52375E-06
325.01	4.88424E-07	0.000003	2.51158E-06
335.02	5.12692E-07	0.000003	2.48731E-06
345.01	5.38904E-07	0.000003	2.4611E-06
355.01	5.66644E-07	0.000003	2.43336E-06
365.02	5.90343E-07	0.000003	2.40966E-06
375.01	6.09062E-07	0.000003	2.39094E-06
385.01	6.4056E-07	0.000003	2.35944E-06
395.02	6.67916E-07	0.000003	2.33208E-06
405.03	6.90157E-07	0.000003	2.30984E-06
415.02	7.07014E-07	0.000003	2.29299E-06
425.02	7.38814E-07	0.000003	2.26119E-06
435.01	7.51751E-07	0.000003	2.24825E-06
445.02	7.74061E-07	0.000003	2.22594E-06
455.02	8.0887E-07	0.000003	2.19113E-06
465.01	8.25123E-07	0.000003	2.17488E-06
475.01	8.48767E-07	0.000003	2.15123E-06
485.02	8.70043E-07	0.000003	2.12996E-06
495.03	8.97376E-07	0.000003	2.10262E-06
505.01	9.17862E-07	0.000003	2.08214E-06
515.01	9.41152E-07	0.000003	2.05885E-06
525.01	9.66889E-07	0.000003	2.03311E-06
535.01	9.87327E-07	0.000003	2.01267E-06
545.01	1.0152E-06	0.000003	1.9848E-06
555.01	1.04467E-06	0.000003	1.95533E-06
565.02	1.05645E-06	0.000003	1.94355E-06
575.01	1.07603E-06	0.000003	1.92397E-06
585.02	1.11674E-06	0.000003	1.88326E-06
595.01	1.13089E-06	0.000003	1.86911E-06
605.02	1.14091E-06	0.000003	1.85909E-06
615.02	1.17289E-06	0.000003	1.82711E-06
625.01	1.18574E-06	0.000003	1.81426E-06
635.01	1.21374E-06	0.000003	1.78626E-06
645.01	1.24149E-06	0.000003	1.75851E-06
655.02	1.25254E-06	0.000003	1.74746E-06
665.02	1.27617E-06	0.000003	1.72383E-06
675.02	1.29457E-06	0.000003	1.70543E-06
685.02	1.32385E-06	0.000003	1.67615E-06
695.02	1.32904E-06	0.000003	1.67096E-06
705.01	1.34841E-06	0.000003	1.65159E-06
715.01	1.37209E-06	0.000003	1.62791E-06
725	1.3837E-06	0.000003	1.6163E-06
735.01	1.40988E-06	0.000003	1.59012E-06
745.02	1.43188E-06	0.000003	1.56812E-06
755.02	1.43808E-06	0.000003	1.56192E-06
765.01	1.4516E-06	0.000003	1.5484E-06
775.02	1.4872E-06	0.000003	1.5128E-06
785.01	1.50172E-06	0.000003	1.49828E-06
795.02	1.50514E-06	0.000003	1.49486E-06
805.01	1.53793E-06	0.000003	1.46207E-06
815.03	1.5466E-06	0.000003	1.4534E-06
825.01	1.56506E-06	0.000003	1.43494E-06
835.03	1.58099E-06	0.000003	1.41901E-06
845.02	1.59665E-06	0.000003	1.40335E-06
855.02	1.61735E-06	0.000003	1.38265E-06
865.01	1.63329E-06	0.000003	1.36671E-06
875.01	1.65106E-06	0.000003	1.34894E-06
885.02	1.67219E-06	0.000003	1.32781E-06
895.02	1.67549E-06	0.000003	1.32451E-06
905.02	1.6971E-06	0.000003	1.3029E-06
915.01	1.71141E-06	0.000003	1.28859E-06
925.01	1.72628E-06	0.000003	1.27372E-06
935.01	1.74053E-06	0.000003	1.25947E-06
945.01	1.75127E-06	0.000003	1.24873E-06
955.01	1.77117E-06	0.000003	1.22883E-06
965.01	1.79199E-06	0.000003	1.20801E-06
975.01	1.80135E-06	0.000003	1.19865E-06
985.02	1.80895E-06	0.000003	1.19105E-06
995.02	1.82929E-06	0.000003	1.17071E-06
1005.02	1.83465E-06	0.000003	1.16535E-06
1015.01	1.84608E-06	0.000003	1.15392E-06
1025.02	1.86768E-06	0.000003	1.13232E-06
1035.02	1.87633E-06	0.000003	1.12367E-06
1045.02	1.89738E-06	0.000003	1.10262E-06
1055.02	1.90871E-06	0.000003	1.09129E-06
1065.02	1.92829E-06	0.000003	1.07171E-06
1075.01	1.92931E-06	0.000003	1.07069E-06
1085.01	1.9322E-06	0.000003	1.0678E-06
1095.01	1.94053E-06	0.000003	1.05947E-06
1105.02	1.95775E-06	0.000003	1.04225E-06
1115.02	1.97762E-06	0.000003	1.02238E-06
1125.01	1.98452E-06	0.000003	1.01548E-06
1135.02	2.01156E-06	0.000003	9.88436E-07
1145.01	2.01925E-06	0.000003	9.80745E-07
1155.02	2.02417E-06	0.000003	9.75833E-07
1165.01	2.02722E-06	0.000003	9.72778E-07
1175.02	2.0522E-06	0.000003	9.47799E-07
1185.01	2.05022E-06	0.000003	9.49775E-07
1195.01	2.07097E-06	0.000003	9.29032E-07
1205.02	2.07906E-06	0.000003	9.20937E-07
1215.02	2.07555E-06	0.000003	9.24454E-07
1225.02	2.08704E-06	0.000003	9.12964E-07
1235.01	2.10367E-06	0.000003	8.96335E-07
1245.02	2.11421E-06	0.000003	8.85788E-07
1255.01	2.1319E-06	0.000003	8.681E-07
1265.01	2.13578E-06	0.000003	8.64224E-07
1275.01	2.14377E-06	0.000003	8.56225E-07
1285.01	2.15079E-06	0.000003	8.49214E-07
1295.02	2.17535E-06	0.000003	8.24651E-07
1305.01	2.18284E-06	0.000003	8.17159E-07
1315.01	2.18759E-06	0.000003	8.12406E-07
1325.02	2.1919E-06	0.000003	8.08097E-07
1335.01	2.20459E-06	0.000003	7.95406E-07
1345.01	2.21802E-06	0.000003	7.81981E-07
1355.01	2.22075E-06	0.000003	7.79247E-07
1365.01	2.23759E-06	0.000003	7.62407E-07
1375.01	2.23939E-06	0.000003	7.60606E-07
1385.02	2.24163E-06	0.000003	7.58368E-07
1395.02	2.25559E-06	0.000003	7.4441E-07
1405.02	2.26703E-06	0.000003	7.32973E-07
1415.02	2.27458E-06	0.000003	7.25418E-07
1425.01	2.2811E-06	0.000003	7.18897E-07
1435.02	2.28158E-06	0.000003	7.18415E-07
1445.01	2.29574E-06	0.000003	7.04256E-07
1455.02	2.30579E-06	0.000003	6.94207E-07
1465.02	2.3105E-06	0.000003	6.895E-07
1475.01	2.32185E-06	0.000003	6.78149E-07
1485.02	2.32169E-06	0.000003	6.78306E-07
1495.02	2.32877E-06	0.000003	6.71227E-07
1505.02	2.35022E-06	0.000003	6.49782E-07
1515.02	2.34198E-06	0.000003	6.58018E-07
1525.01	2.35199E-06	0.000003	6.48005E-07
1535.01	2.36611E-06	0.000003	6.33889E-07
1545.02	2.38179E-06	0.000003	6.18208E-07
1555.01	2.38553E-06	0.000003	6.14473E-07
1565.02	2.39453E-06	0.000003	6.05471E-07
1575.02	2.38559E-06	0.000003	6.14409E-07
1585.02	2.38694E-06	0.000003	6.13056E-07
1595.01	2.41242E-06	0.000003	5.8758E-07
1605.01	2.40506E-06	0.000003	5.94937E-07
1615.02	2.4202E-06	0.000003	5.79797E-07
1625.01	2.42488E-06	0.000003	5.75121E-07
1635.03	2.44133E-06	0.000003	5.58668E-07
1645.01	2.43457E-06	0.000003	5.65426E-07
1655.01	2.44389E-06	0.000003	5.56111E-07
1665.01	2.44207E-06	0.000003	5.57929E-07
1675.02	2.46446E-06	0.000003	5.35539E-07
1685.02	2.44964E-06	0.000003	5.50358E-07
1695.02	2.46857E-06	0.000003	5.31426E-07
1705.02	2.47975E-06	0.000003	5.20253E-07
1715.02	2.47926E-06	0.000003	5.20743E-07
1725.02	2.49901E-06	0.000003	5.00993E-07
1735.02	2.50075E-06	0.000003	4.99253E-07
1745.01	2.521E-06	0.000003	4.79001E-07
1755.01	2.52276E-06	0.000003	4.77236E-07
1765.01	2.52905E-06	0.000003	4.70948E-07
1775.02	2.51391E-06	0.000003	4.86088E-07
