Time (s)	[F-actin] M	[G-act]	[G-act] (t)
1115.02	4.50974E-06	0.000005	4.90256E-07
1125.01	4.5186E-06	0.000005	4.81396E-07
1135.02	4.54688E-06	0.000005	4.53123E-07
1145.01	4.55874E-06	0.000005	4.41255E-07
1155.02	4.54597E-06	0.000005	4.54029E-07
1165.01	4.55746E-06	0.000005	4.42543E-07
1175.02	4.55622E-06	0.000005	4.43779E-07
1185.01	4.59119E-06	0.000005	4.08809E-07
1195.01	4.58267E-06	0.000005	4.17334E-07
1205.02	4.58791E-06	0.000005	4.12095E-07
1215.02	4.58312E-06	0.000005	4.16883E-07
1225.02	4.59618E-06	0.000005	4.03825E-07
1235.01	4.60697E-06	0.000005	3.9303E-07
1245.02	4.60795E-06	0.000005	3.92055E-07
1255.01	4.66234E-06	0.000005	3.37661E-07
1265.01	4.64542E-06	0.000005	3.54578E-07
1275.01	4.64526E-06	0.000005	3.54741E-07
1285.01	4.65517E-06	0.000005	3.44829E-07
1295.02	4.65293E-06	0.000005	3.47067E-07
1305.01	4.67417E-06	0.000005	3.25834E-07
1315.01	4.64986E-06	0.000005	3.50139E-07
1325.02	4.66864E-06	0.000005	3.31357E-07
1335.01	4.6802E-06	0.000005	3.19801E-07
1345.01	4.69019E-06	0.000005	3.0981E-07
1355.01	4.69554E-06	0.000005	3.0446E-07
1365.01	4.69524E-06	0.000005	3.04759E-07
1375.01	4.71081E-06	0.000005	2.89187E-07
1385.02	4.72635E-06	0.000005	2.73649E-07
1395.02	4.71868E-06	0.000005	2.81318E-07
1405.02	4.71229E-06	0.000005	2.87711E-07
1415.02	4.71413E-06	0.000005	2.85868E-07
1425.01	4.72577E-06	0.000005	2.7423E-07
1435.02	4.71753E-06	0.000005	2.82472E-07
1445.01	4.75216E-06	0.000005	2.47839E-07
1455.02	4.74488E-06	0.000005	2.55122E-07
1465.02	4.73747E-06	0.000005	2.62528E-07
1475.01	4.7432E-06	0.000005	2.56797E-07
1485.02	4.75272E-06	0.000005	2.47283E-07
1495.02	4.74447E-06	0.000005	2.55533E-07
1505.02	4.76716E-06	0.000005	2.32844E-07
1515.02	4.77917E-06	0.000005	2.20829E-07
1525.01	4.75338E-06	0.000005	2.46616E-07
1535.01	4.7793E-06	0.000005	2.20701E-07
