Time (s)	[F-actin] M	[G-act] (0)	[G-act] (t)
1275.01	8.36489E-07	0.000002	1.16351E-06
1285.01	8.49627E-07	0.000002	1.15037E-06
1295.02	8.5295E-07	0.000002	1.14705E-06
1305.01	8.65197E-07	0.000002	1.1348E-06
1315.01	8.73172E-07	0.000002	1.12683E-06
1325.02	8.77582E-07	0.000002	1.12242E-06
1335.01	8.86341E-07	0.000002	1.11366E-06
1345.01	8.91334E-07	0.000002	1.10867E-06
1355.01	8.9822E-07	0.000002	1.10178E-06
1365.01	9.10939E-07	0.000002	1.08906E-06
1375.01	9.19706E-07	0.000002	1.08029E-06
1385.02	9.21518E-07	0.000002	1.07848E-06
1395.02	9.24077E-07	0.000002	1.07592E-06
1405.02	9.29752E-07	0.000002	1.07025E-06
1415.02	9.37825E-07	0.000002	1.06217E-06
1425.01	9.38815E-07	0.000002	1.06118E-06
1435.02	9.63724E-07	0.000002	1.03628E-06
1445.01	9.57454E-07	0.000002	1.04255E-06
1455.02	9.66109E-07	0.000002	1.03389E-06
1465.02	9.75607E-07	0.000002	1.02439E-06
1475.01	9.72386E-07	0.000002	1.02761E-06
1485.02	9.80602E-07	0.000002	1.0194E-06
1495.02	9.87205E-07	0.000002	1.01279E-06
1505.02	9.84765E-07	0.000002	1.01523E-06
1515.02	1.0024E-06	0.000002	9.97604E-07
1525.01	1.00581E-06	0.000002	9.94188E-07
1535.01	1.01464E-06	0.000002	9.85355E-07
1545.02	1.01467E-06	0.000002	9.8533E-07
1555.01	1.03371E-06	0.000002	9.6629E-07
1565.02	1.02774E-06	0.000002	9.72259E-07
1575.02	1.02948E-06	0.000002	9.70516E-07
1585.02	1.05038E-06	0.000002	9.49623E-07
1595.01	1.05028E-06	0.000002	9.49724E-07
1605.01	1.05708E-06	0.000002	9.42925E-07
1615.02	1.06469E-06	0.000002	9.35311E-07
1625.01	1.07116E-06	0.000002	9.2884E-07
1635.03	1.07545E-06	0.000002	9.24547E-07
1645.01	1.08986E-06	0.000002	9.10142E-07
1655.01	1.09068E-06	0.000002	9.09324E-07
1665.01	1.08863E-06	0.000002	9.11369E-07
1675.02	1.10131E-06	0.000002	8.98692E-07
1685.02	1.10479E-06	0.000002	8.95208E-07
1695.02	1.11686E-06	0.000002	8.83137E-07
1705.02	1.11752E-06	0.000002	8.82478E-07
1715.02	1.12023E-06	0.000002	8.79773E-07
1725.02	1.12448E-06	0.000002	8.7552E-07
1735.02	1.13596E-06	0.000002	8.64044E-07
1745.01	1.1211E-06	0.000002	8.78895E-07
1755.01	1.14078E-06	0.000002	8.59219E-07
1765.01	1.14525E-06	0.000002	8.54746E-07
1775.02	1.16401E-06	0.000002	8.35986E-07
1785.02	1.15452E-06	0.000002	8.45483E-07
1795.02	1.16857E-06	0.000002	8.31428E-07
1805.02	1.17316E-06	0.000002	8.2684E-07
1815.01	1.1715E-06	0.000002	8.28502E-07
1825.02	1.18468E-06	0.000002	8.1532E-07
1835.01	1.18082E-06	0.000002	8.19179E-07
1845.01	1.18188E-06	0.000002	8.18116E-07
1855.02	1.20287E-06	0.000002	7.9713E-07
