Time (s)	[F-actin] M	[G-act]	[G-act] (t)
15.04	0	0.000004	0.000004
25.01		0.000004	
35.03	2.36541E-08	0.000004	3.97635E-06
45.03	3.86447E-08	0.000004	3.96136E-06
55.02	5.75157E-08	0.000004	3.94248E-06
65.01	7.6911E-08	0.000004	3.92309E-06
75.01	9.85783E-08	0.000004	3.90142E-06
85.02	1.2433E-07	0.000004	3.87567E-06
95.01	1.42583E-07	0.000004	3.85742E-06
105.02	1.74366E-07	0.000004	3.82563E-06
115.02	2.09828E-07	0.000004	3.79017E-06
125.02	2.42816E-07	0.000004	3.75718E-06
135.01	2.84051E-07	0.000004	3.71595E-06
145.02	3.10069E-07	0.000004	3.68993E-06
155.02	3.56364E-07	0.000004	3.64364E-06
165.01	3.8701E-07	0.000004	3.61299E-06
175.03	4.34193E-07	0.000004	3.56581E-06
185.01	4.82216E-07	0.000004	3.51778E-06
195.02	5.18383E-07	0.000004	3.48162E-06
205.02	5.78909E-07	0.000004	3.42109E-06
215.02	6.11674E-07	0.000004	3.38833E-06
225.02	6.61843E-07	0.000004	3.33816E-06
235.01	7.10887E-07	0.000004	3.28911E-06
245.03	7.5649E-07	0.000004	3.24351E-06
255.01	8.05943E-07	0.000004	3.19406E-06
265.01	8.47341E-07	0.000004	3.15266E-06
275.01	8.95104E-07	0.000004	3.1049E-06
285.02	9.38016E-07	0.000004	3.06198E-06
295.01	1.00515E-06	0.000004	2.99485E-06
305.02	1.04109E-06	0.000004	2.95891E-06
315.01	1.08559E-06	0.000004	2.91441E-06
325.01	1.13462E-06	0.000004	2.86538E-06
335.02	1.1877E-06	0.000004	2.8123E-06
345.01	1.23078E-06	0.000004	2.76922E-06
355.01	1.27886E-06	0.000004	2.72114E-06
365.02	1.31972E-06	0.000004	2.68028E-06
375.01	1.36564E-06	0.000004	2.63436E-06
385.01	1.40803E-06	0.000004	2.59197E-06
395.02	1.45327E-06	0.000004	2.54673E-06
405.03	1.50016E-06	0.000004	2.49984E-06
415.02	1.53594E-06	0.000004	2.46406E-06
425.02	1.5896E-06	0.000004	2.4104E-06
435.01	1.61912E-06	0.000004	2.38088E-06
445.02	1.66222E-06	0.000004	2.33778E-06
455.02	1.69842E-06	0.000004	2.30158E-06
465.01	1.74456E-06	0.000004	2.25544E-06
475.01	1.7858E-06	0.000004	2.2142E-06
485.02	1.82472E-06	0.000004	2.17528E-06
